title,houseType,floor,position,area,direction,buildTime,viewNum,time,tags,unitPrice,totalPrice
业主诚心出售，厨卫朝北，户型正气，出门就是地铁 必看好房, 2室1厅 ,高楼层(共6层) ,浦江花园, 77.45平米 , 南, 2000年建 ,332人关注 , 10月前发布,近地铁 VR房源 随时看房,单价23240.8元/平米,180万
高品质独栋 挑空客厅 全套房 全朝南户型 带私家泳池 必看好房, 5室3厅 ,低楼层(共2层) ,居礼别墅, 280.73平米 , 南, 2003年建 ,308人关注 , 1年前发布,满五年 VR房源,单价70530.4元/平米,1980万
地铁优质两房+户型正+总价低+500米到地铁 必看好房, 2室1厅 ,高楼层(共6层) ,共富一村, 70.23平米 , 南, 1997年建 ,716人关注 , 11月前发布,近地铁 满五年 VR房源,单价34885.4元/平米,245万
成熟商圈，房东自住两房，诚意出售 必看好房, 2室2厅 ,高楼层(共6层) ,云帆雅苑, 84.58平米 , 南, 2007年建 ,82人关注 , 3月前发布,满五年 VR房源,单价17971.2元/平米,152万
业主诚心出售，可谈。双南房带阳台 户型好小区成熟 必看好房, 2室1厅 ,高楼层(共4层) ,解放新村, 66.1平米 , 南, 1982年建 ,75人关注 , 3月前发布,满两年 VR房源 随时看房,单价17397.9元/平米,115万
2012年新房子，南北通，采光充足，视野开阔 必看好房, 2室2厅 ,高楼层(共6层) ,海霞佳苑, 83.21平米 , 南, 2012年建 ,173人关注 , 7月前发布,VR房源 随时看房,单价24396.1元/平米,203万
世茂顶楼复式，带游泳池，带450平大露台,5室4厅,高楼层(共60层),世茂滨江花园, 1080.63平米 , 东 西,,278人关注 , 3月前发布,近地铁 满五年 VR房源,单价222093元/平米,24000万
房子为顶楼复式，正常层高，带露台 必看好房, 3室1厅 ,高楼层(共6层) ,金丰小区, 99.73平米 , 南, 1994年建 ,183人关注 , 4月前发布,满五年 VR房源,单价32086.6元/平米,320万
紫薇茗庭 2室1厅 南 北 必看好房, 2室1厅 ,低楼层(共28层) ,紫薇茗庭, 65.58平米 , 南 北, 2014年建 ,160人关注 , 1月前发布,VR房源,单价23635.3元/平米,155万
金山 石化 22号线 直达上海南站 电梯两房 必看好房, 2室1厅 ,低楼层(共25层) ,东礁一村, 76.6平米 , 南, 1996年建 ,70人关注 , 5月前发布,VR房源,单价10835.5元/平米,83万
复兴中路+新天地板块+地铁10、13线+小户型总价低 必看好房, 1室1厅 ,中楼层(共6层) ,复兴中路480弄, 25.31平米 , 东 西 北, 1977年建 ,100人关注 , 2月前发布,满五年 VR房源,单价101146元/平米,256万
桃源二村，近16号线地铁口，诚心出售 必看好房,2室1厅,中楼层(共6层),桃源二村, 69平米 , 南,,148人关注 , 3月前发布,近地铁 VR房源 随时看房,单价21739.1元/平米,150万
近地铁，温馨华丽两居室，婚房装修尽显品位，户型方正 必看好房, 2室2厅 ,高楼层(共6层) ,丰怡苑, 89.85平米 , 南, 2006年建 ,147人关注 , 6月前发布,满五年 VR房源,单价33389元/平米,300万
目前景舒苑就一套一房带阁楼，税费低 必看好房, 2室1厅 ,高楼层(共5层) ,景舒苑六村, 57.55平米 , 南, 2006年建 ,292人关注 , 12月前发布,满两年 VR房源 随时看房,单价46046.9元/平米,265万
边套全明，户型正气采光通风良好 必看好房, 2室2厅 ,低楼层(共15层) ,茅台新苑, 73.29平米 , 南, 1989年建 ,133人关注 , 1月前发布,近地铁 满五年 VR房源,单价47073.3元/平米,345万
开发商精装 高楼层，大四房双卫，四开间看菁英湖 必看好房, 4室2厅 ,高楼层(共21层) ,华润中央公园(浩翔路99弄)(公寓), 186.56平米 , 南 北, 2012年建 ,139人关注 , 2月前发布,VR房源,单价47437.8元/平米,885万
婚房装修 一改二 首付少 压力小 诚心出售 高楼层 必看好房, 2室2厅 ,中楼层(共17层) ,同润菲诗艾伦, 55.6平米 , 西 东, 2010年建 ,80人关注 , 1月前发布,VR房源,单价29676.3元/平米,165万
内中环商品房+一梯两户+中间位置+产权一人+无户口 必看好房, 2室1厅 ,高楼层(共6层) ,绿川新苑, 70.38平米 , 南, 1999年建 ,588人关注 , 9月前发布,满五年 VR房源 随时看房,单价43336.2元/平米,305万
售后公房，满五年，中等装修，业主诚意卖！ 必看好房, 2室1厅 ,高楼层(共6层) ,虹梅南路96弄, 69.64平米 , 南, 1994年建 ,548人关注 , 9月前发布,近地铁 满五年 VR房源,单价44514.6元/平米,310万
新年到！好房来！地铁近！税费低！刚需好选择！ 必看好房, 2室1厅 ,中楼层(共6层) ,沪东花苑, 61.07平米 , 东, 1995年建 ,126人关注 , 3月前发布,近地铁 满五年 VR房源 随时看房,单价44211.6元/平米,270万
满五唯一，楼层适中，采光充足，适合居住 必看好房, 2室1厅 ,中楼层(共6层) ,金顺佳苑, 74.62平米 , 南, 2009年建 ,167人关注 , 1月前发布,满五年 VR房源,单价25194.3元/平米,188万
诚意诚意诚意出售的4房2厅4卫，南北都看江，诚意诚意 必看好房,4室2厅,低楼层(共40层),中粮海景壹号, 340.31平米 , 西南,,82人关注 , 2月前发布,近地铁 VR房源 随时看房,单价167494元/平米,5700万
精装修带全屋空调，附8平，40万装修，首付150万起 必看好房, 2室1厅 ,中楼层(共18层) ,保利林语溪(公寓), 89.66平米 , 南 北, 2011年建 ,276人关注 , 3月前发布,满五年 VR房源,单价49631.9元/平米,445万
商品次新房，干净整洁如新房，年亲夫妇装修设计超级赞 必看好房, 2室2厅 ,低楼层(共25层) ,御景龙庭, 91平米 , 南 北, 2013年建 ,97人关注 , 3月前发布,满五年 VR房源,单价15934.1元/平米,145万
三年婚房精装 5楼带阁楼 一梯两户 精装修带阁楼 必看好房, 2室2厅 ,高楼层(共5层) ,河畔家苑, 89.3平米 , 南, 2011年建 ,393人关注 , 1月前发布,近地铁 满两年 VR房源 随时看房,单价33370.7元/平米,298万
两房满五唯一，业主诚意出售，拎包入住， 必看好房, 2室1厅 ,高楼层(共6层) ,绿地玲珑寓, 72.44平米 , 南 北, 2010年建 ,67人关注 , 1月前发布,满五年 VR房源 随时看房,单价16565.4元/平米,120万
荣乐小区 2室1厅 南 必看好房, 2室1厅 ,高楼层(共6层) ,荣乐小区, 57.31平米 , 南, 1986年建 ,109人关注 , 2月前发布,近地铁 VR房源,单价27743.8元/平米,159万
嘉定北站 桃园小区 62平 精装 满二诚意急售 看房方便 必看好房, 2室1厅 ,高楼层(共6层) ,桃园小区(嘉定), 61.69平米 , 南, 1984年建 ,185人关注 , 1年前发布,满两年 VR房源 随时看房,单价25611.9元/平米,158万
原始户型无改动，两房朝南，栋距大无遮挡，看房随时 必看好房, 2室2厅 ,中楼层(共13层) ,上海康城, 104.27平米 , 南, 2008年建 ,106人关注 , 6月前发布,VR房源 随时看房,单价33087.2元/平米,345万
登云小户型，楼层佳，价格便宜，2015电梯房 必看好房, 1室1厅 ,低楼层(共18层) ,塘和家园登云苑, 50.41平米 , 南, 2015年建 ,179人关注 , 9月前发布,满两年 VR房源,单价23408.1元/平米,118万
菊园高区复式 七米挑空 品质精装 业主诚意 必看好房, 4室2厅 ,高楼层(共32层) ,菊园, 184.77平米 , 南, 2001年建 ,87人关注 , 2月前发布,近地铁 VR房源,单价81993.8元/平米,1515万
晨阳小区一改二户型，采光好，小区中间位置。 必看好房, 1室1厅 ,高楼层(共6层) ,晨阳小区, 48.92平米 , 南, 1997年建 ,62人关注 , 1月前发布,满五年 VR房源,单价24529.8元/平米,120万
仁恒二期，2010年竣工，70年产权正规复式，落地大窗！ 必看好房, 2室2厅 ,中楼层(共11层) ,仁恒运杰河滨花园, 90.47平米 , 南, 2010年建 ,193人关注 , 5月前发布,满五年 VR房源 随时看房,单价27633.5元/平米,250万
近地铁700米 商品房品质高 小区环境物业好 必看好房, 1室1厅 ,低楼层(共11层) ,虹浦新城南区, 56.13平米 , 南, 2008年建 ,266人关注 , 10月前发布,近地铁 满五年 VR房源,单价29217.9元/平米,164万
房型好 价格实惠，满五唯一，采光通风好 业主诚心卖 必看好房, 2室1厅 ,高楼层(共6层) ,桃浦七村雪松苑, 64.98平米 , 南, 1995年建 ,83人关注 , 1月前发布,近地铁 满五年 VR房源 随时看房,单价33087.1元/平米,215万
不靠马路，位置安静，露台20平米，可塑空间大 必看好房, 2室2厅 ,高楼层(共6层) ,金汇花园一街坊, 80.3平米 , 东南 南, 1994年建 ,604人关注 , 4月前发布,近地铁 满两年 VR房源 随时看房,单价46699.9元/平米,375万
浦江馨都 双阳台，原始动迁房 必看好房, 2室1厅 ,低楼层(共7层) ,浦江馨都, 74.09平米 , 南, 2013年建 ,155人关注 , 2月前发布,近地铁 满两年 VR房源 随时看房,单价29963.6元/平米,222万
近地铁，小区中间，价格好，满五唯一，诚心急卖中。 必看好房, 2室1厅 ,高楼层(共6层) ,四元路20弄, 53.43平米 , 南 北, 1993年建 ,118人关注 , 9月前发布,近地铁 满五年 VR房源,单价27699.8元/平米,148万
昆阳小区 2室1厅 南 必看好房, 2室1厅 ,中楼层(共5层) ,昆阳小区, 60.38平米 , 南, 1978年建 ,39人关注 , 3月前发布,近地铁 VR房源,单价24014.6元/平米,145万
思凡花苑六街坊小一房 二手买进税费少 总价低诚售 必看好房, 1室1厅 ,低楼层(共6层) ,思凡花苑六街坊, 31.38平米 , 南, 1997年建 ,123人关注 , 9月前发布,满两年 VR房源 随时看房,单价27406元/平米,86万
华侨城珍奢三房，业主诚售，横厅拓宽10米 必看好房, 3室2厅 ,低楼层(共45层) ,华侨城苏河湾, 224.75平米 , 南, 2014年建 ,93人关注 , 6月前发布,近地铁 VR房源,单价119244元/平米,2680万
满五年唯一 精装修 可拎包入住哦 必看好房, 2室1厅 ,高楼层(共7层) ,华东花苑, 78.66平米 , 南, 1997年建 ,571人关注 , 2年前发布,近地铁 满两年 VR房源,单价45130.9元/平米,355万
近地铁，总价低，采光好，拎包入住！ 必看好房, 1室0厅 ,中楼层(共5层) ,海滨新村, 36.37平米 , 北, 1959年建 ,137人关注 , 3月前发布,近地铁 VR房源,单价30244.7元/平米,110万
约8米宽的客厅+满2年+双车位+无遮挡采光全明+看房方便 必看好房, 4室2厅 ,中楼层(共5层) ,绿城上海御园, 181.15平米 , 南, 2015年建 ,258人关注 , 9月前发布,近地铁 满两年 VR房源 随时看房,单价78388.1元/平米,1420万
塔城路 精装两房 满五唯一 税费少 采光足 通风好可谈 必看好房, 2室1厅 ,高楼层(共6层) ,塔城路850弄, 83.17平米 , 南, 1997年建 ,214人关注 , 5月前发布,近地铁 满五年 VR房源 随时看房,单价23566.2元/平米,196万
正宗电梯复式，视野开阔，位置安静+大露台 必看好房, 4室2厅 ,高楼层(共11层) ,明丰花园, 176.64平米 , 南 北, 2003年建 ,104人关注 , 1月前发布,近地铁 满五年 VR房源,单价47441.1元/平米,838万
整个嘉定主推房源 ，急卖，满五年，有钥匙 诚心出售 必看好房, 2室1厅 ,高楼层(共6层) ,嘉富小区, 77.47平米 , 南, 1996年建 ,85人关注 , 4月前发布,满五年 VR房源 随时看房,单价23622元/平米,183万
内环边 精装修带地暖 地铁3+4+9轨道 市六医院旁边 必看好房, 2室1厅 ,低楼层(共29层) ,钦州花苑, 81.17平米 , 南, 1995年建 ,87人关注 , 1月前发布,近地铁 VR房源,单价53591.2元/平米,435万
满五唯一，看房方便随时可看，房东诚心卖 必看好房, 2室1厅 ,高楼层(共6层) ,国和一村, 54.14平米 , 南, 1991年建 ,80人关注 , 11月前发布,近地铁 满五年 VR房源 随时看房,单价46730.7元/平米,253万
临港新片区，精装两房，品质小区带车位，物业管理好 必看好房, 2室2厅 ,低楼层(共18层) ,凯德新视界(一期), 84平米 , 南 北, 2015年建 ,57人关注 , 1月前发布,满两年 VR房源,单价20000元/平米,168万
小区到地铁900米，满五唯一，中高楼层，装修三年 必看好房, 2室2厅 ,中楼层(共16层) ,美丽星城, 86.99平米 , 南, 2004年建 ,132人关注 , 6月前发布,近地铁 满五年 VR房源,单价39659.7元/平米,345万
包车库！总价低！接受置换！提前交房！有钥匙！优选！ 必看好房, 4室2厅 ,低楼层(共17层) ,嘉誉湾, 195.02平米 , 南, 2015年建 ,298人关注 , 1年前发布,近地铁 满两年 VR房源 随时看房,单价83068.4元/平米,1620万
正看一线江景和百年外滩夜景 ，厅南北通透带大阳台,4室3厅,低楼层(共40层),中粮海景壹号, 340.31平米 , 南 北,,301人关注 , 2年前发布,近地铁 满五年 VR房源,单价146925元/平米,5000万
400平米露台，私家泳池，挑空厅，一线江景复式！, 6室3厅 ,高楼层(共56层) ,世茂滨江花园, 938.24平米 , 西南, 2003年建 ,163人关注 , 2年前发布,满五年 VR房源,单价159874元/平米,15000万
西班牙名园大复式 满五唯一 税费少 业主诚意出售 必看好房, 4室3厅 ,高楼层(共5层) ,西班牙名园, 181.36平米 , 南, 2001年建 ,100人关注 , 3月前发布,近地铁 VR房源,单价51224.1元/平米,929万
Z央空调地暖，经典A户型，附15平，满五唯一，南北通 必看好房, 3室2厅 ,高楼层(共14层) ,保利林语溪(公寓), 91平米 , 南, 2011年建 ,206人关注 , 6月前发布,满五年 VR房源,单价56373.6元/平米,513万
电梯两房带阁楼和露台 满五年唯一 南北通透户型方正 必看好房, 2室2厅 ,高楼层(共14层) ,绿地康桥新苑, 89.66平米 , 南 北, 2004年建 ,318人关注 , 3月前发布,满五年 VR房源,单价49074.3元/平米,440万
近地铁7/13号线长清路站，采光通风很好，满五年唯一 必看好房, 2室0厅 ,高楼层(共6层) ,德州四村, 53.86平米 , 南, 1987年建 ,144人关注 , 2月前发布,近地铁 VR房源,单价44374.3元/平米,239万
婚房大2房+全明户型+双朝南+得房率高+诚意出售+近地铁 必看好房, 2室1厅 ,中楼层(共7层) ,怡佳苑, 65.59平米 , 南, 1995年建 ,83人关注 , 30天前发布,近地铁 满五年 VR房源,单价54124.1元/平米,355万
售后公房，婚房装修，全明户型，交通便利，价格好谈。 必看好房, 2室1厅 ,高楼层(共6层) ,市光二村, 63.08平米 , 南, 1990年建 ,209人关注 , 3月前发布,VR房源,单价47400.1元/平米,299万
川沙电梯复式房 满五唯一 诚心出售 必看好房, 3室1厅 ,中楼层(共18层) ,玉兰苑(川沙), 133.4平米 , 南, 1999年建 ,65人关注 , 6月前发布,近地铁 VR房源,单价29085.5元/平米,388万
五角场十精装修十有地暖十满五唯一十采光好十通风好。 必看好房, 3室2厅 ,高楼层(共6层) ,君裕公寓, 125.49平米 , 南, 1999年建 ,103人关注 , 8月前发布,近地铁 VR房源,单价51797元/平米,650万
小户型 边套全明 精装修 拎包入住 近地铁 低总价 必看好房, 1室0厅 ,中楼层(共5层) ,玉田新村, 19.88平米 , 东北, 1958年建 ,202人关注 , 2月前发布,近地铁 满两年 VR房源,单价61871.2元/平米,123万
滨江30米+玉带环腰+正对小区花园+两房价格买三房！ 必看好房, 3室2厅 ,低楼层(共27层) ,新外滩花苑, 135.34平米 , 南, 2001年建 ,267人关注 , 1年前发布,近地铁 满五年 VR房源,单价73888元/平米,1000万
近地铁口 改善3房 业主急卖 随时看房 总价低 必看好房, 3室1厅 ,高楼层(共6层) ,怡田小区, 64.04平米 , 南, 1995年建 ,79人关注 , 2月前发布,VR房源 随时看房,单价26858.2元/平米,172万
华山路803弄 经典双南户型 南北通 精装修保养很好 必看好房, 2室1厅 ,高楼层(共6层) ,华山路803弄, 54平米 , 南, 1984年建 ,253人关注 , 1年前发布,近地铁 满五年 VR房源 随时看房,单价89814.8元/平米,485万
