title,rentType,position,direction,area,tags,price
梅陇十村,整租,徐汇-华东理工-梅陇十村 ,南 , 56㎡ ,随时看房,4200 元/月
锦博苑,合租,浦东-北蔡-锦博苑 ,南 , 25㎡ ,公寓 独立卫生间 近地铁 精装 独立阳台 随时看房,1750 元/月
沙家浜小区,整租,徐汇-华泾-沙家浜小区 ,南 , 65㎡ ,随时看房,3800 元/月
邻里苑,合租,闵行-莘庄-邻里苑 ,南 , 14㎡ ,公寓 近地铁 独立阳台 随时看房,1150 元/月
祝和苑,整租,浦东-祝桥-祝和苑 ,南 , 65㎡ ,随时看房,2200 元/月
大华锦绣华城(四街区),合租,浦东-北蔡-大华锦绣华城(四街区) ,南 , 25㎡ ,公寓 独立卫生间 近地铁 精装 独立阳台 随时看房,1800 元/月
中山南一路246弄,整租,黄浦-世博滨江-中山南一路246弄 ,南 , 29㎡ ,近地铁 随时看房,4850 元/月
西凌新邨,整租,黄浦-蓬莱公园-西凌新邨 ,南 , 27㎡ ,近地铁 随时看房,4260 元/月
长青坊,整租,徐汇-康健-长青坊 ,南 , 31㎡ ,随时看房,3800 元/月
紫竹小区,整租,长宁-北新泾-紫竹小区 ,南 , 36㎡ ,近地铁 随时看房,4900 元/月
红梅小区(长宁),整租,长宁-北新泾-红梅小区(长宁) ,南 , 49㎡ ,近地铁 随时看房,5200 元/月
航天新苑,合租,徐汇-漕河泾-航天新苑 ,南 , 27㎡ ,新上 公寓 独立卫生间 月租 近地铁 精装 独立阳台 随时看房,3000 元/月
长虹小区,整租,长宁-新华路-长虹小区 ,南 , 37㎡ ,近地铁 精装 随时看房,4999 元/月
惠缘,整租,浦东-金桥-惠缘 ,南 , 30㎡ ,新上 租住保障 公寓 月租 精装 押一付一 随时看房,1500 元/月
虹桥机场新村,整租,长宁-西郊-虹桥机场新村 ,南 , 52㎡ ,精装 随时看房,5000 元/月
虹霞小区,整租,长宁-仙霞-虹霞小区 ,南 , 33㎡ ,近地铁 随时看房,5000 元/月
复兴东路404弄,整租,黄浦-董家渡-复兴东路404弄 ,南 , 21㎡ ,近地铁 精装 随时看房,4800 元/月
寿昌坊,整租,徐汇-康健-寿昌坊 ,南 , 39㎡ ,近地铁 随时看房,4400 元/月
康健路100弄,整租,徐汇-康健-康健路100弄 ,南 , 38㎡ ,近地铁 随时看房,4400 元/月
俞三小区,整租,徐汇-龙华-俞三小区 ,南 , 41㎡ ,精装 随时看房,4300 元/月
绿园一村,整租,长宁-北新泾-绿园一村 ,南 北 , 56㎡ ,近地铁 随时看房,4900 元/月
惠缘,整租,浦东-金桥-惠缘 ,南 , 32㎡ ,新上 租住保障 公寓 月租 精装 押一付一 随时看房,1600 元/月
宛南六村,整租,徐汇-龙华-宛南六村 ,南 , 33㎡ ,近地铁 随时看房,4500 元/月
棕榈苑,合租,浦东-三林-棕榈苑 ,南 , 15㎡ ,新上 公寓 近地铁 独立阳台 押一付一 随时看房,1750 元/月
斜土路520-540号,整租,黄浦-五里桥-斜土路520-540号 ,北 , 32㎡ ,近地铁 精装 随时看房,5000 元/月
虹莘家园,合租,闵行-古美-虹莘家园 ,南 , 23㎡ ,新上 公寓 月租 近地铁 精装 押一付一 随时看房,2000 元/月
梅陇六村,整租,徐汇-华东理工-梅陇六村 ,南 , 42㎡ ,随时看房,3800 元/月
宝龙城市广场(青浦),整租,青浦-赵巷-宝龙城市广场(青浦) ,南 , 30㎡ ,新上 公寓 近地铁 精装 随时看房,2000 元/月
虞泽苑,合租,浦东-北蔡-虞泽苑 ,南 , 22㎡ ,新上 公寓 独立卫生间 月租 近地铁 精装 押一付一 随时看房,1620 元/月
西班牙名园,合租,闵行-梅陇-西班牙名园 ,南 , 22㎡ ,新上 公寓 月租 近地铁 精装 押一付一 随时看房,1800 元/月
斜土路520-540号,整租,黄浦-五里桥-斜土路520-540号 ,北 , 32㎡ ,近地铁 精装 随时看房,5000 元/月
惠缘,整租,浦东-金桥-惠缘 ,南 , 35㎡ ,新上 租住保障 公寓 月租 精装 押一付一 随时看房,2000 元/月
梅陇九村,整租,徐汇-华东理工-梅陇九村 ,南 , 45㎡ ,随时看房,3550 元/月
