title,houseType,floor,position,area,direction,buildTime,viewNum,time,tags,unitPrice,totalPrice
【首套首付215万】【套内面积86.49】 必看好房, 2室1厅 ,低楼层(共11层) ,益辰欣园, 99.02平米 , 东 西, 2002年建 ,57人关注 , 5月前发布,满五年 VR看装修 随时看房,单价48980元/平米,485万
满五年，唯一住房，2010年6层电梯房，世界月季园南侧 必看好房, 2室1厅 ,低楼层(共6层) ,一品嘉园西区, 88.41平米 , 南 北, 2010年建 ,362人关注 , 2月前发布,满五年 VR看装修,单价24318.5元/平米,215万
店长推荐聪慧里经典小两居装修好业主诚意出售可谈 必看好房, 2室1厅 ,高楼层(共6层) ,聪慧里, 58.76平米 , 南 北, 1992年建 ,158人关注 , 2月前发布,满两年 VR看装修,单价28080.3元/平米,165万
四环内 满五年唯一 朝南向 中等装修 近地铁 必看好房, 2室1厅 ,高楼层(共6层) ,新华街六里, 63.3平米 , 南, 1996年建 ,288人关注 , 2月前发布,近地铁 满五年 VR看装修,单价45023.7元/平米,285万
海淀区产权，南北向，3层精装修 必看好房, 2室1厅 ,中楼层(共6层) ,三嘉信苑, 62.26平米 , 南 北, 2011年建 ,400人关注 , 4月前发布,满五年 VR看装修 随时看房,单价43045.3元/平米,268万
主卧室朝南户型，首付60万，业主诚意出售 必看好房, 1室1厅 ,低楼层(共11层) ,水色时光四区, 66.54平米 , 南, 2012年建 ,218人关注 , 3月前发布,满两年 VR看装修,单价23895.4元/平米,159万
婚房精装两居，视野采光好，近地铁 必看好房, 2室1厅 ,高楼层(共28层) ,首开畅心园, 70.03平米 , 西, 2010年建 ,488人关注 , 2月前发布,近地铁 满五年 VR看装修,单价40696.8元/平米,285万
古城地铁口 1995年 南北通透两室一厅， 必看好房, 2室1厅 ,低楼层(共7层) ,八角南里, 52.81平米 , 南 北, 1995年建 ,1840人关注 , 10月前发布,近地铁 VR看装修,单价35031.2元/平米,185万
低总价， 楼龄新， 近地铁大一居 必看好房, 2室0厅 ,高楼层(共6层) ,定福庄西街, 62.02平米 , 东北, 1998年建 ,238人关注 , 2月前发布,近地铁 VR看装修 随时看房,单价36923.6元/平米,229万
婚房精装!!! 南北两居 满五唯一 交通便利 总价低 必看好房, 2室1厅 ,高楼层(共5层) ,建明里小区, 60.11平米 , 南 北, 1992年建 ,166人关注 , 5月前发布,近地铁 满五年 VR看装修,单价36932.3元/平米,222万
全南向两居室，楼下正对花园，视野开阔！ 必看好房, 2室1厅 ,高楼层(共28层) ,住欣家园, 66.86平米 , 南, 2010年建 ,574人关注 , 2月前发布,近地铁 满五年 VR看装修 随时看房,单价41130.7元/平米,275万
东四环边75.95平两居，单价3.82万，97年钢混电梯楼 必看好房, 2室1厅 ,高楼层(共12层) ,八里庄北里小区, 75.95平米 , 西, 1997年建 ,881人关注 , 2月前发布,VR看装修,单价38183元/平米,290万
