title,rentType,position,direction,area,tags,price
朝阳新城六区,整租,朝阳-东坝-朝阳新城六区 ,南 北 , 75㎡ ,新上 集中供暖,5300 元/月
贝客公寓,独栋,,,24-28㎡ ,独栋公寓 月租 近地铁,6650-7050 元/月
地质附中,整租,海淀-五道口-地质附中 ,南 , 44㎡ ,新上 集中供暖,5800 元/月
窝趣轻社区,独栋,,,25-30㎡ ,独栋公寓 月租 押一付一,2880-2980 元/月
信用北里,整租,东城-崇文门-信用北里 ,东 , 36㎡ ,新上 近地铁 集中供暖,4700 元/月
首创He寓,独栋,,,24㎡ ,新上 独栋公寓 月租 拎包入住 近地铁 开放厨房,2200-2400 元/月
定慧东里,整租,海淀-定慧寺-定慧东里 ,东北 , 45㎡ ,新上 集中供暖,5200 元/月
永兴里,整租,丰台-丰台其它-永兴里 ,南 北 , 53㎡ ,新上,2600 元/月
IN北京,整租,通州-通州其它-IN北京 ,东 , 58㎡ ,新上,2900 元/月
东亚印象台湖,整租,通州-通州其它-东亚印象台湖 ,南 , 64㎡ ,新上 集中供暖,3400 元/月
正源尚峰尚水,整租,海淀-海淀北部新区-正源尚峰尚水 ,西 , 66㎡ ,新上,4500 元/月
首创He寓,独栋,,,26㎡ ,新上 独栋公寓 月租 拎包入住 近地铁 开放厨房,2200-2350 元/月
正源尚峰尚水,整租,海淀-海淀北部新区-正源尚峰尚水 ,南 , 80㎡ ,新上,5500 元/月
首创He寓,独栋,,,仅剩3间 ,新上 独栋公寓 月租 拎包入住 近地铁 开放厨房,2300-2350 元/月
大红门南里,整租,丰台-赵公口-大红门南里 ,南 北 , 46㎡ ,近地铁 精装 集中供暖,3600 元/月
七星园,整租,石景山-鲁谷-七星园 ,南 北 , 62㎡ ,集中供暖 随时看房,3800 元/月
永内西街北里,整租,西城-陶然亭-永内西街北里 ,东 西 , 55㎡ ,集中供暖 随时看房,4500 元/月
兴隆都市馨园,整租,东城-崇文门-兴隆都市馨园 ,北 , 30㎡ ,新上 近地铁 集中供暖,5200 元/月
高家园一区,整租,朝阳-酒仙桥-高家园一区 ,东南 , 42㎡ ,新上 近地铁 精装 集中供暖,5500 元/月
艺苑桐城,整租,大兴-黄村火车站-艺苑桐城 ,南 北 , 85㎡ ,新上 近地铁 集中供暖,2200 元/月
上地东里,整租,海淀-上地-上地东里 ,南 , 48㎡ ,新上 近地铁 集中供暖,6000 元/月
窝趣轻社区,独栋,,,19-23㎡ ,独栋公寓 月租 近地铁 开放厨房 押一付一,3580-5580 元/月
朝阳公园西里北区,整租,朝阳-农展馆-朝阳公园西里北区 ,东 西 , 51㎡ ,新上 近地铁 集中供暖,6000 元/月
窝趣轻社区,独栋,,,20㎡ ,独栋公寓 月租 近地铁 开放厨房 押一付一,3700-5340 元/月
法源寺西里小区,整租,西城-牛街-法源寺西里小区 ,南 北 , 51㎡ ,新上 近地铁 集中供暖,5600 元/月
贝客公寓,独栋,,,21㎡ ,独栋公寓 月租 近地铁,6350 元/月
