title,houseType,floor,position,area,direction,buildTime,viewNum,time,tags,unitPrice,totalPrice
首付10万即可拥有温馨小2房，价格优惠，随时看房 必看好房,2室1厅,中楼层(共17层),美林湖天琴半岛, 63.21平米 , 东北,,258人关注 , 5月前发布,满两年 VR房源 随时看房,单价7593.7元/平米,48万
复式三房，全新装修保养好，视野开阔，配套齐全 必看好房,3室1厅,中楼层(共19层),万科尚城, 43.22平米 , 东北,,215人关注 , 3月前发布,随时看房,单价18278.6元/平米,79万
业主想快一点卖出去，卖了收到现金会考虑在买房 必看好房,3室2厅,高楼层(共7层),怡丰路, 97.31平米 , 南,,33人关注 , 2月前发布,满两年 VR房源,单价8118.4元/平米,79万
大南路 业主自住 精装修 精致3房, 3室2厅 ,高楼层(共7层) ,市桥大南路, 108.4平米 , 东北, 1994年建 ,47人关注 , 4月前发布,满两年 VR房源,单价14298.9元/平米,155万
满五唯一 位置优越 近地铁出行方便 刚需上车盘 必看好房,2室1厅,中楼层(共5层),江南大道南, 52平米 , 南,,72人关注 , 2月前发布,近地铁 满五年 VR房源,单价22115.4元/平米,115万
农讲所地铁站旁 德政中路 三房两卫带主套 精装修 必看好房, 3室1厅 ,高楼层(共9层) ,德政中路, 74.18平米 , 东南, 2008年建 ,751人关注 , 7月前发布,近地铁 满两年 VR房源,单价31410.1元/平米,233万
花城路地铁站旁三房，南北对流，五小 必看好房,3室2厅,高楼层(共7层),花城路, 85平米 , 南 北,,287人关注 , 4月前发布,近地铁 满两年 VR房源 随时看房,单价8800元/平米,74.8万
金河湾花园 业主婚房急卖 拎包入住 首付25万 独立天台 必看好房,2室1厅,高楼层(共9层),金河湾花园二期, 81平米 , 北,,112人关注 , 6月前发布,近地铁 满五年 VR房源,单价14802.5元/平米,119.9万
温馨2房，环境靓，光线好，适合做婚房，月供没压力。 必看好房,2室2厅,高楼层(共8层),沙园中路, 72.14平米 , 南 西,,67人关注 , 2月前发布,满两年 VR房源 随时看房,单价8663.7元/平米,62.5万
同福中路 精致装修 标准舒适大单间 必看好房,1室0厅,低楼层(共6层),同福中路, 27平米 , 东,,151人关注 , 4月前发布,近地铁 满两年 VR房源 随时看房,单价21481.5元/平米,58万
佰俐山 东南向全新装修 业主急售 刚需上车笋盘有钥匙 必看好房, 3室2厅 ,低楼层(共32层) ,广州雅居乐花园剑桥郡, 102.22平米 , 东南, 2010年建 ,109人关注 , 2月前发布,近地铁 满两年 VR房源 随时看房,单价36685.6元/平米,375万
合景天峻精装三房单边位少有放盘 必看好房, 3室1厅 ,高楼层(共31层) ,合景天峻广场, 88.64平米 , 北, 2019年建 ,148人关注 , 2月前发布,满两年 随时看房,单价9702.2元/平米,86万
