title,rentType,position,direction,area,tags,price
晓港湾美华苑,整租,海珠-金碧-晓港湾美华苑 ,南 , 25㎡ ,新上 近地铁,2500 元/月
邦舍公寓,独栋,,,55-59㎡ ,独栋公寓 月租 近地铁 开放厨房 押一付一,3600-4600 元/月
解放中路,整租,越秀-北京路-解放中路 ,北 , 35㎡ ,新上 近地铁,2500 元/月
邦舍公寓,独栋,,,仅剩5间 ,独栋公寓 月租 近地铁 开放厨房 押一付一,3900-4800 元/月
凤凰新村四街,整租,海珠-工业大道北-凤凰新村四街 ,南 , 40㎡ ,新上 近地铁,2500 元/月
邦舍公寓,独栋,,,仅剩1间 ,独栋公寓 月租 近地铁 开放厨房 押一付一,5400-5750 元/月
恒康阁,整租,天河-林和-恒康阁 ,南 , 45㎡ ,新上 近地铁 随时看房,2000 元/月
恒展江山时代花园,整租,增城-朱村-恒展江山时代花园 ,南 , 74㎡ ,新上,1500 元/月
惠百氏广场,整租,增城-白江-惠百氏广场 ,东 , 38㎡ ,新上 近地铁 随时看房,1400 元/月
东圃大马路,整租,天河-东圃-东圃大马路 ,南 北 , 31㎡ ,新上 近地铁,1300 元/月
文苑花园(黄埔区),整租,黄埔-文冲-文苑花园(黄埔区) ,南 , 60㎡ ,新上 近地铁,1600 元/月
锦绣香江花园紫荆园,合租,番禺-汉溪-锦绣香江花园紫荆园 ,北 , 9㎡ ,公寓 近地铁 精装 押一付一 随时看房,1330 元/月
永福路永福西约,整租,越秀-黄花岗-永福路永福西约 ,南 , 28㎡ ,新上,1750 元/月
御东雅苑,整租,越秀-东风西-御东雅苑 ,北 , 20㎡ ,新上 公寓 月租 近地铁 精装 押一付一 随时看房,2400 元/月
万科云城米酷,整租,天河-高唐-万科云城米酷 ,南 , 25㎡ ,新上 近地铁,2200 元/月
金碧御水山庄,整租,花都-狮岭镇-金碧御水山庄 ,东 , 75㎡ ,新上,1600 元/月
周门小区石路基,整租,荔湾-周门-周门小区石路基 ,南 , 25㎡ ,新上 近地铁,1200 元/月
敏建锦绣世家,整租,番禺-沙湾-敏建锦绣世家 ,南 , 40㎡ ,新上 随时看房,2100 元/月
棠德花园,整租,天河-棠下-棠德花园 ,东 , 89㎡ ,新上 近地铁,2700 元/月
万科云城米酷,整租,天河-高唐-万科云城米酷 ,南 , 25㎡ ,新上 近地铁,2200 元/月
顶好大厦,整租,增城-新塘南-顶好大厦 ,东 , 62㎡ ,新上 近地铁 随时看房,900 元/月
御东雅苑,整租,越秀-东风西-御东雅苑 ,北 , 25㎡ ,新上 公寓 月租 精装 押一付一 随时看房,2560 元/月
亚运城媒体北村,整租,番禺-亚运城-亚运城媒体北村 ,北 , 76㎡ ,新上 近地铁,2300 元/月
天河峰景大厦,合租,天河-燕塘-天河峰景大厦 ,东 , 7㎡ ,新上 公寓 近地铁 精装 押一付一 随时看房,1330 元/月
东华东路,整租,越秀-东山口-东华东路 ,东南 , 15㎡ ,新上 近地铁,1700 元/月
林和邨,合租,天河-林和-林和邨 ,东南 , 11㎡ ,新上 公寓 月租 近地铁 精装 随时看房,2390 元/月
万松园,整租,海珠-前进路-万松园 ,东 , 40㎡ ,新上 近地铁 随时看房,2500 元/月
