title,houseType,floor,position,area,direction,buildTime,viewNum,time,tags,unitPrice,totalPrice
地铁口物业，精装小两房，带大阳台 必看好房, 2室1厅 ,高楼层(共33层) ,佳兆业大都汇, 61.43平米 , 南 北, 2011年建 ,727人关注 , 5月前发布,近地铁 满两年 VR房源,单价32231.8元/平米,198万
此房满五年，价格优质，手慢无。 必看好房, 2室1厅 ,中楼层(共4层) ,长龙新村, 63.65平米 , 南, 1993年建 ,1186人关注 , 10月前发布,近地铁 满五年 VR房源,单价25137.5元/平米,160万
龙岗区 刚需精装两房 总价低 业主诚心出售 必看好房, 2室2厅 ,低楼层(共11层) ,东鸿雅居, 66.84平米 , 西南, 2011年建 ,395人关注 , 2月前发布,满五年 VR房源 随时看房,单价26930元/平米,180万
南联地铁口 精装复式小三房 红本在手满五唯一 必看好房, 3室1厅 ,中楼层(共22层) ,远洋新干线一期, 50.28平米 , 南, 2015年建 ,156人关注 , 1月前发布,近地铁 满五年 随时看房,单价26849.6元/平米,135万
大运新城 改善型三房 南向看花园 必看好房, 3室1厅 ,低楼层(共24层) ,中海康城花园二期, 118.27平米 , 西南, 2011年建 ,47人关注 , 10月前发布,满五年 VR房源 随时看房,单价38048.5元/平米,450万
3号线横岗站300米，东南全明3房，业主诚心卖 必看好房, 3室2厅 ,低楼层(共33层) ,信义御城豪园, 88.94平米 , 东南, 2013年建 ,541人关注 , 4月前发布,近地铁 满两年 VR房源,单价39352.4元/平米,350万
刚需一房一厅、大社区、红本在手、诚心出售、一楼商铺 必看好房,2室1厅,低楼层(共6层),双龙花园, 30.8平米 , 南,,113人关注 , 1月前发布,满五年 VR房源 随时看房,单价42207.8元/平米,130万
深圳湾1号，原值高税费低，全东向三房, 3室2厅 ,低楼层(共50层) ,深圳湾1号, 324.45平米 , 东, 2015年建 ,79人关注 , 8月前发布,近地铁 VR房源,单价169518元/平米,5500万
万象天成 龙城广场 一房一厅 毛坯户型 诚心出售 必看好房, 2室1厅 ,中楼层(共24层) ,万象天成, 53.82平米 , 东南, 2010年建 ,430人关注 , 1年前发布,近地铁 满五年 VR房源 随时看房,单价31586.8元/平米,170万
万科开发 多期开发 大型花园社区 片区居住氛围浓厚 必看好房, 3室2厅 ,低楼层(共35层) ,万科翡御郡府, 89.18平米 , 南, 2015年建 ,361人关注 , 1年前发布,满五年 VR房源,单价54384.4元/平米,485万
