title,houseType,floor,position,area,direction,buildTime,viewNum,time,tags,unitPrice,totalPrice
馨汇佳苑 次新小区 主卧朝南 厅朝南 采光充足,1室1厅1卫, 低楼层/15层 ,川沙 馨汇佳苑,57.67 平米 , 南 , 2001年建,0 人关注 , 2019-12-16发布,满二年,单价35547元/m²,205万
南北户型！！精装修，采光通透没有遮挡，满五年,2室1厅1卫, 高楼层/6层 ,斜土路大木桥 西木小区-小木桥路440弄 · 距离地铁大木桥路453米,54.2 平米 , 南北 , 1985年建,2 人关注 , 2018-03-15发布,近地铁随时看满五年,单价70111元/m²,380万
双天井，看房有钥匙，满五年，户型正气，交通方便,2室1厅1卫, 底层/6层 ,金杨 罗山一村-德平路25弄 · 距离地铁德平路1095米,63.64 平米 , 南 , 1997年建,0 人关注 , 2019-11-19发布,近地铁随时看满五年,单价53426元/m²,340万
瑞达苑，两房朝南，精装全配，品质小区，配套成熟。,2室1厅1卫, 顶层/6层 ,花木 瑞达苑 · 距离地铁世纪公园856米,81 平米 , 南 , 2001年建,2 人关注 , 2019-05-08发布,近地铁满五年,单价69753元/m²,565万
华发小区 好楼层双南两房 双阳台******高,2室1厅1卫, 低楼层/6层 ,华泾 华发小区,57.76 平米 , 南 , 2000年建,4 人关注 , 2019-03-13发布,满五年,单价48476元/m²,280万
馨汇佳苑 此新小区 环境优视野宽阔 采光好,2室2厅1卫, 低楼层/15层 ,川沙 馨汇佳苑,77.92 平米 , 南北 , 2015年建,0 人关注 , 2020-01-08发布,随时看满二年近公园,单价40426元/m²,315万
馨汇佳苑 次新小区环境好 采光充足,1室1厅1卫, 低楼层/15层 ,川沙 馨汇佳苑,57.6 平米 , 南 , 2001年建,0 人关注 , 2019-12-13发布,满二年,单价39931元/m²,230万
电梯房一室一厅，看房方便，房东诚意出售,1室1厅1卫, 低楼层/25层 ,中山公园 银鑫大楼 · 距离地铁隆德路562米,49.78 平米 , 东 , 1991年建,0 人关注 , 2019-12-22发布,近地铁满五年,单价67296元/m²,335万
南北通透 有钥匙中间楼层 公交站菜市场 户型正气,1室1厅1卫, 低楼层/6层 ,三林 三林世博家园-东书房路390弄 · 距离地铁浦三路1471米,54 平米 , 南 , 2001年建,3 人关注 , 2019-10-31发布,近地铁随时看,单价48130元/m²,259.9万
徽三老牌，瞿溪新村，朝南一房，好楼层，看房方便，,1室1厅1卫, 中楼层/6层 ,世博滨江 瞿溪新村 · 距离地铁南浦大桥563米,27.26 平米 , 南 , 1964年建,0 人关注 , 2018-04-14发布,近地铁随时看满五年近公园,单价80704元/m²,220万
牡丹小区精装两房，中间楼层，采光好，房东诚意出售，看房方便,2室1厅1卫, 中楼层/6层 ,花木 牡丹小区 · 距离地铁世纪公园696米,60.17 平米 , 东 , 1995年建,4 人关注 , 2019-05-12发布,近地铁满二年,单价72295元/m²,435万
老房东专属委托、售后公房、看房方便、诚心出售,1室1厅1卫, 中楼层/6层 ,田林 田林十一村 · 距离地铁桂林路777米,29.7 平米 , 南 , 2001年建,0 人关注 , 2019-10-12发布,近地铁满五年,单价102694元/m²,305万
