title,rentType,position,direction,area,tags,price
近新天地，日月光，交通便利，配套齐全，采光好，房东急租,整租,打浦桥 瞿溪路1200弄 · 距离地铁鲁班路286米, 南 , 30 平米 ,近地铁随时看,3300 元/月
诚意出租，可小刀，家具家电全配，随时看房,整租,徐家汇 肇嘉浜路669弄 · 距离地铁肇嘉浜路506米, 南 , 38 平米 ,近地铁随时看,3900 元/月
装修不错，南北通透 ，楼层佳，看房方便,整租,花木 牡丹小区-牡丹路186弄 · 距离地铁世纪公园527米, 南 , 67 平米 ,近地铁随时看,8500 元/月
品质小区，户型正气，配套齐全，交通便利！,整租,打浦桥 南园小区 · 距离地铁鲁班路55米, 南 , 46 平米 ,近地铁随时看,8800 元/月
近地铁，双南两房，看房提前约,整租,斜土路大木桥 东安二村 · 距离地铁龙华中路350米, 南 , 57 平米 ,近地铁拎包入住,6800 元/月
旭辉平安优先选择，出门旭辉广场，近北洋泾站，来看,整租,洋泾 崮山四街坊 · 距离地铁北洋泾路705米, 南 , 45.02 平米 ,近地铁拎包入住,4500 元/月
"近嘉善站9.12出行方便全配,环境好，拎包入住，宜家家具。",整租,斜土路大木桥 肇嘉浜路193弄 · 距离地铁嘉善路403米, 南 , 48.45 平米 ,近地铁随时看,6700 元/月
近宜山路，电梯两房朝南采光好，居家可配，随时看,整租,田林 宜山路655弄 · 距离地铁桂林路776米, 南 , 70.9 平米 ,近地铁随时看拎包入住,6500 元/月
龙华中路平安大厦精装一房带阳台，近轨交7/12线，拎包入住,整租,斜土路大木桥 东安五村 · 距离地铁龙华中路463米, 南 , 31 平米 ,近地铁随时看拎包入住,4300 元/月
此房为南向二室一厅一卫，建筑面积为74平米,整租,三林 三林世博家园-新浦路251弄, 南 , 74 平米 ,随时看,5000 元/月
近桂林路，精装修，看房随时，电话联系，靠近沃尔玛，六院,整租,田林 田林五村 · 距离地铁桂林路280米, 南 , 36.55 平米 ,近地铁随时看,5500 元/月
小区环境优美，拎包入住，交通方便，随时看房,整租,张江 盛大天地青春里二期, 西 , 65 平米 ,随时看拎包入住,6500 元/月
此房为南向一室一厅一卫，建筑面积为58平米。,整租,三林 三林世博家园-大道站路94弄 · 距离地铁浦三路904米, 南 , 58 平米 ,近地铁拎包入住,4500 元/月
周边配套设施完善，环境好，一梯两户，交通方便，,整租,浦东世博 德州七村 · 距离地铁长清路920米, 南 , 55.24 平米 ,近地铁随时看拎包入住,4500 元/月
金杨崮山一街坊，近旭辉广场，精装修有钥匙，可办居住证,整租,洋泾 崮山一街坊 · 距离地铁芳甸路637米, 南 , 73 平米 ,近地铁随时看可短租拎包入住,7700 元/月
紧邻东安路4/7线 电梯两房一厅 拎包入住 看房有钥匙,整租,斜土路大木桥 东安路338弄 · 距离地铁东安路152米, 南 , 100 平米 ,近地铁随时看,10800 元/月
意和家园，2楼双南两房，居家装修，家电齐全，生活便利,整租,凉城 意和家园 · 距离地铁延长路983米, 南 , 90 平米 ,近地铁拎包入住,7500 元/月
整租·崮山小区四街坊 2室1厅 南,整租,洋泾 崮山四街坊 · 距离地铁北洋泾路705米, 南 , 70.12 平米 ,近地铁随时看拎包入住,6500 元/月
近地铁，交通便利，出行方便，配置齐全,整租,徐家汇 南宜花苑 · 距离地铁宜山路58米, 南 , 52.24 平米 ,近地铁可短租拎包入住,5200 元/月
此房为南向二室一厅一卫，建筑面积为89平米,整租,田林 钦州花苑 · 距离地铁宜山路713米, 南 , 89 平米 ,近地铁随时看,7800 元/月
整租·华山花苑 1室1厅 南,整租,镇宁路 华山花苑 · 距离地铁交通大学165米, 南 , 45 平米 ,近地铁随时看拎包入住,5800 元/月
新里程和合苑，精装全配，随时看房，拎包入住,整租,三林 新里城和合苑 · 距离地铁高青路1055米, 南 , 62 平米 ,近地铁随时看拎包入住,4800 元/月
春港丽园，三房整租，精装全配，拎包入住，近广兰2號线,整租,张江 春港丽园 · 距离地铁广兰路778米, 南 , 116 平米 ,近地铁随时看,9500 元/月
金杨六街坊 精装修两房视野无遮挡近9号现蓝天路300m,整租,金杨 金杨六街坊 · 距离地铁蓝天路359米, 南 , 60 平米 ,近地铁随时看拎包入住,5000 元/月
金科路地铁站原始两房精装修拎包入住,整租,张江 张江汤臣豪园四期 · 距离地铁张江高科766米, 南 , 89.9 平米 ,近地铁随时看,9700 元/月
总有好房适合你，我一直在你身边,整租,虹桥 虹二小区 · 距离地铁虹桥路296米, 西 , 20 平米 ,近地铁随时看,3500 元/月
华发路，精装两房两厅，看房提前约,整租,华泾 徐汇华园, 南 , 90 平米 ,拎包入住,5600 元/月
南北通透采光充足 配套完善,整租,浦东世博 昌里花园三期 · 距离地铁云台路541米, 南 , 96 平米 ,近地铁随时看拎包入住,9000 元/月
宛平南路肇嘉浜路 徐家汇公园一房一厅干净整洁,整租,徐家汇 宛平南路65弄 · 距离地铁肇嘉浜路544米, 南 , 45 平米 ,近地铁拎包入住,4600 元/月
新里城和合苑 二室一厅一卫5500,整租,三林 新里城和合苑 · 距离地铁高青路1055米, 北 , 85 平米 ,近地铁随时看,5500 元/月
张江汤臣豪园二期三室二厅二卫,整租,张江 张江汤臣豪园二期 · 距离地铁金科路700米, 南 , 136 平米 ,近地铁随时看拎包入住,14000 元/月
精装修朝南 随时起租，看房方便,整租,张江 汇智湖畔家园 · 距离地铁金科路597米, 南 , 90 平米 ,近地铁随时看,9500 元/月
房东诚意出租，精装修，家电齐全，拎包入住，房型好，朝向好,整租,张江 万科翡翠公园三期 · 距离地铁金科路1356米, 南 , 85 平米 ,近地铁随时看,9500 元/月
（小万上门拍照）采光好南北通透，中间楼层随时看周边配套成熟，,整租,浦东世博 济阳三村-济阳路65弄，德州路465弄，耀华路550弄 · 距离地铁长清路795米, 南 , 42 平米 ,近地铁随时看,4500 元/月
临近轨交2线，对面是世纪公园，精装修可以随时拎包入住,整租,花木 花木苑 · 距离地铁世纪公园646米, 南 , 76 平米 ,近地铁随时看拎包入住,8200 元/月
新上 罗山七村 精装两房 双南全明 看房提前约,整租,金杨 罗山七村-龙居路191弄 · 距离地铁云山路831米, 南 , 77 平米 ,近地铁随时看拎包入住,6500 元/月
宜山路精装两房 看房约,整租,徐家汇 南宜花苑 · 距离地铁宜山路58米, 南 , 80 平米 ,近地铁拎包入住,8500 元/月
联系登记人，干净清爽，全装全配，看房方便。,整租,洋泾 崮山三街坊 · 距离地铁德平路658米, 南 , 51 平米 ,近地铁随时看拎包入住,6500 元/月
成熟社区繁华地段，干净清爽，环境优美，品质生活，随时看房,整租,打浦桥 名盛苑 · 距离地铁鲁班路427米, 南 , 139 平米 ,近地铁随时看可短租拎包入住,15000 元/月
