title,houseType,floor,position,area,direction,buildTime,viewNum,time,tags,unitPrice,totalPrice
财政部三居，卖点（紧凑三居，南北通透，全明格局）,3室1厅1卫, 高楼层/6层 ,公主坟 翠微中里 · 距离地铁万寿路691米,67.18 平米 , 南北 , 1993年建,4 人关注 , 2020-01-04发布,近地铁随时看,单价92289元/m²,620万
马家堡地铁站 正规一居室 有钥匙随时可以看房,1室1厅1卫, 中楼层/24层 ,马家堡 嘉园一里 · 距离地铁马家堡202米,44.22 平米 , 西 , 1998年建,9 人关注 , 2020-01-12发布,近地铁随时看,单价60832元/m²,269万
二环内 西直门南大街 中直机关大院 南北通透大三居 正规客厅,3室1厅1卫, 低楼层/22层 ,官园 西直门南大街10、12、14号 · 距离地铁车公庄389米,110 平米 , 南北 , 1990年建,12 人关注 , 2020-01-08发布,近地铁随时看满五年,单价116364元/m²,1280万
惠新西街南口双地铁 楼龄新电梯南北通透板楼 有钥匙,2室1厅1卫, 中楼层/12层 ,惠新西街 小关北里 · 距离地铁惠新西街南口386米,59.09 平米 , 南北 , 1994年建,18 人关注 , 2019-12-23发布,近地铁随时看满五年,单价72770元/m²,430万
东南向三居室，高楼层，无遮挡，把角户型，看房方便,3室1厅1卫, 高楼层/23层 ,牛街 牛街西里 · 距离地铁广安门内412米,90.69 平米 , 东南 , 2004年建,12 人关注 , 2019-12-01发布,近地铁满五年,单价89095元/m²,808万
牛街东里高楼层两居室精装修地铁旁公园近,2室1厅1卫, 高楼层/19层 ,牛街 牛街东里一区 · 距离地铁菜市口573米,73.77 平米 , 西南 , 1999年建,10 人关注 , 2019-12-04发布,近地铁满五年,单价81063元/m²,598万
满五唯一，精装修，南向，楼层高，视野跟采光好，层高2.9米。,2室1厅1卫, 中楼层/25层 ,惠新西街 千鹤家园 · 距离地铁惠新西街北口219米,111.93 平米 , 南 , 2002年建,5 人关注 , 2019-12-02发布,近地铁满五年近公园,单价78442元/m²,878万
三环 彩虹城 金角户型 户型方正宽敞明亮，对小区花园,2室1厅1卫, 中楼层/22层 ,赵公口 彩虹城四区 · 距离地铁石榴庄508米,78.73 平米 , 南东北 , 2005年建,14 人关注 , 2019-12-28发布,近地铁随时看满五年,单价56903元/m²,448万
黄金楼层满5年近公园把边全明格局,2室1厅1卫, 中楼层/5层 ,东直门 民安小区东直门北中街 · 距离地铁东直门32米,52.55 平米 , 南北 , 1985年建,5 人关注 , 2019-11-09发布,近地铁随时看满五年近公园,单价110371元/m²,580万
茉藜园大三居南北通透 高层观景 主卧、大次卧带阳台,3室2厅2卫, 高楼层/21层 ,北苑 茉藜园 · 距离地铁立水桥南671米,154.59 平米 , 南北 , 2003年建,2 人关注 , 2020-01-10发布,近地铁随时看满二年近公园,单价49162元/m²,760万
高层板楼电梯直达2012年次新小区,2室2厅1卫, 中楼层/11层 ,草桥 玺萌城市间 · 距离地铁角门西779米,82.19 平米 , 南北 , 2009年建,2 人关注 , 2019-12-24发布,近地铁满五年,单价69960元/m²,575万
高楼层，南向两居，精装修，高楼中天月色净，望著国贸中国尊。,2室2厅1卫, 高楼层/25层 ,惠新西街 千鹤家园 · 距离地铁惠新西街北口219米,111.93 平米 , 东南 , 2002年建,5 人关注 , 2019-12-20发布,近地铁随时看满五年近公园,单价79514元/m²,890万
东南小区新上中间层南北向两居,2室1厅1卫, 低楼层/6层 ,中关村 东南小区 · 距离地铁知春里223米,59.7 平米 , 南北 , 1982年建,4 人关注 , 2019-12-22发布,近地铁随时看,单价123116元/m²,735万
砖角楼南里 满五年一套优质大三居 临近护城河 看房随时,3室1厅1卫, 顶层/6层 ,和平里 砖角楼南里 · 距离地铁柳芳520米,70.06 平米 , 东西 , 1988年建,51 人关注 , 2019-03-20发布,近地铁满五年业主自荐,单价65515元/m²,459万
