title,rentType,position,direction,area,tags,price
整租北沙滩6号院看房有钥匙业主急租价格可聊,整租,南沙滩 北沙滩6号院 · 距离地铁北沙滩534米, 东北 , 60 平米 ,近地铁拎包入住集中供暖,6500 元/月
6号线 模式口西里 两居室 交通便利 家具家电全齐,整租,苹果园 模式口西里, 西南 , 60 平米 ,随时看,3600 元/月
天通苑北一区 精装修三居室 看房随时 带电梯,整租,天通苑 天通苑北一区 · 距离地铁天通苑南263米, 东南 , 118 平米 ,近地铁随时看拎包入住集中供暖,8000 元/月
天通苑北一区 全南向两居室 随时看房 可短租,整租,天通苑 天通苑北一区 · 距离地铁天通苑南263米, 南 , 106.71 平米 ,近地铁随时看可短租集中供暖,6200 元/月
立水桥溪城家园精装两居室 随时入住 交通便利,整租,立水桥 溪城家园2号院 · 距离地铁立水桥南1210米, 南 , 78.37 平米 ,近地铁随时看,6100 元/月
奥体东门惠新西街 安苑北里 精装两居居室出租 预约看房,整租,亚运村 安苑北里 · 距离地铁惠新西街北口665米, 南 , 55 平米 ,近地铁集中供暖,6800 元/月
东坝 金隅悦和园一居室 全齐精装出租,整租,东坝 朝新嘉园西里, 南 , 63 平米 ,随时看拎包入住集中供暖,4300 元/月
十里堡地铁站 梧桐人家东北两居室,整租,四惠 梧桐人家 · 距离地铁十里堡681米, 东北 , 83.92 平米 ,近地铁拎包入住,8000 元/月
成寿寺方庄桥南四方景园四区精装全齐大三居看房随时,,成寿寺 四方景园四区 · 距离地铁方庄1066米, 南北 , 136.41 平米 ,近地铁随时看拎包入住,8200 元/月
朝阳路 甘露园四惠东地铁口 甘露园南里一区精装一居室,整租,甘露园 甘露园南里一区 · 距离地铁四惠东789米, 西南 , 42 平米 ,近地铁随时看,4500 元/月
金融街宏汇园小区、温馨一居室、看房方便，拎包入住,整租,金融街 宏汇园 · 距离地铁灵境胡同267米, 西 , 50 平米 ,近地铁可短租拎包入住集中供暖,8200 元/月
双井国贸CBD首城国际豪华两居室看房随时装修好随时看,整租,双井 首城国际 · 距离地铁九龙山707米, 南北 , 90 平米 ,近地铁随时看拎包入住集中供暖,11500 元/月
北苑望春园小区 板楼全南一居室,整租,北苑 北苑家园望春园 · 距离地铁立水桥南549米, 南 , 63.65 平米 ,近地铁随时看,6500 元/月
花市枣苑，精装修，东向一室一厅，业主自住,整租,东花市 花市枣苑 · 距离地铁广渠门内601米, 东 , 66.93 平米 ,近地铁随时看,8500 元/月
