title,houseType,floor,position,area,direction,buildTime,viewNum,time,tags,unitPrice,totalPrice
田林体育公寓 2室1厅 520万,2室1厅 , 高楼层(共20层) ,田林体育公寓 - 田林, 87.1平米 , 北 西北 , 1997年建 ,159人关注,21天以前发布,VR房源,单价59702元/平米,520万
百步双轨地铁 品质小区+景观楼层带阁楼+ 随时拎包入住,3室2厅 , 高楼层(共6层) ,东陆新村五街坊 - 金桥, 77.84平米 , 南 , 2003年建 ,216人关注,一年前发布,近地铁VR房源房本满两年,单价56398元/平米,439万
双地铁，朝南，楼层好，客厅有窗户，注重教育的选择,1室1厅 , 中楼层(共7层) ,大桥小区 - 中山公园, 41.6平米 , 北 南 , 1987年建 ,59人关注,2个月以前发布,近地铁VR房源随时看房,单价62500元/平米,260万
嘉西地铁花坛位置 业主自住装修 店东力荐！！！,2室1厅 , 中楼层(共18层) ,新城悠活城 - 菊园新区, 82.59平米 , 南 , 2012年建 ,302人关注,3个月以前发布,近地铁VR房源房本满两年随时看房,单价32692元/平米,270万
店长推荐，地铁口南北两房，精装修，税少，看房方便,2室2厅 , 高楼层(共6层) ,水清年华花园 - 七宝, 83.19平米 , 南 , 2007年建 ,139人关注,1个月以前发布,近地铁VR房源房本满两年,单价50487元/平米,420万
南北通风，采光好，总价低，拎包入住,2室1厅 , 低楼层(共11层) ,崧泽华城秀景苑 - 赵巷, 68.43平米 , 南 北 , 2014年建 ,113人关注,6个月以前发布,VR房源,单价34781元/平米,238万
业主自住装修，经典小三房，中间楼层，中间位置,3室2厅 , 中楼层(共16层) ,金地自在城(二期) - 泗泾, 93平米 , 南 , 2015年建 ,88人关注,2个月以前发布,VR房源,单价38173元/平米,355万
蓝色收获+小户型低总价+百联|+金山卫站,1室1厅 , 低楼层(共11层) ,蓝色收获龙宇路999弄 - 山阳, 59.4平米 , 南 , 2008年建 ,20人关注,5个月以前发布,VR房源,单价16499元/平米,98万
精装修、户型方正，朝南，铂金3楼，只一套了,1室1厅 , 中楼层(共6层) ,凯旋一村 - 徐家汇, 40.85平米 , 南 , 1989年建 ,28人关注,6个月以前发布,近地铁VR房源房本满五年,单价97920元/平米,400万
中间楼层 满五唯一 近地铁 无噪音,1室1厅 , 中楼层(共6层) ,临沂八村 - 南码头, 36.39平米 , 南 , 1988年建 ,59人关注,1个月以前发布,近地铁VR房源,单价51663元/平米,188万
四期景观大一房，业主置换跟我买好房子，有钥匙随时看,1室2厅 , 低楼层(共34层) ,中远两湾城 - 中远两湾城, 69.56平米 , 东南 , 2006年建 ,412人关注,一年前发布,近地铁VR房源房本满五年随时看房,单价76913元/平米,535万
正气三房 业主置换 诚意出售 满五唯一 产权清晰,3室2厅 , 低楼层(共11层) ,东方知音苑 - 金杨, 121平米 , 南 , 2003年建 ,108人关注,一年前发布,近地铁VR房源房本满五年,单价81984元/平米,992万
财富海景前排中区大宅，景色无遮挡，境外业主诚意出售,4室2厅 , 低楼层(共38层) ,财富海景花园 - 陆家嘴, 339.98平米 , 南 , 2006年建 ,51人关注,10个月以前发布,近地铁VR房源房本满五年随时看房,单价132361元/平米,4500万
美丽景观大三房 三房朝南带阳台 佰平阔气客厅！,3室3厅 , 中楼层(共26层) ,翠湖天地隽荟 - 新天地, 296.31平米 , 南 北 ,,115人关注,7个月以前发布,近地铁VR房源随时看房,单价163950元/平米,4858万
店长主推+精装中空带地暖+价格含车位+户型好双南,2室2厅 , 中楼层(共14层) ,春申景城MIDTOWN - 春申, 108.7平米 , 南 , 2011年建 ,87人关注,一年前发布,VR房源房本满五年,单价67618元/平米,735万
自住装修，一线江景。满五唯一，看房方便,3室2厅 , 低楼层(共35层) ,家化滨江苑 - 塘桥, 217.19平米 , 南 , 2004年建 ,90人关注,5个月以前发布,近地铁VR房源房本满五年随时看房,单价70906元/平米,1540万
两房满五唯一，业主诚意出售，拎包入住，,2室1厅 , 高楼层(共6层) ,绿地玲珑寓 - 张堰, 72.44平米 , 南 北 , 2010年建 ,62人关注,1个月以前发布,VR房源房本满五年随时看房,单价16566元/平米,120万
人车分流，园林小区 满五唯一 税费低 高区采光好,2室2厅 , 中楼层(共31层) ,新家坡园景苑 - 五里桥, 94.9平米 , 西南 , 1999年建 ,174人关注,6个月以前发布,近地铁VR房源房本满五年随时看房,单价80612元/平米,765万
小巧的户型，温馨的家，采光充足，居住舒适。,1室1厅 , 中楼层(共24层) ,星颂家园 - 曹路, 56.29平米 , 南 , 2011年建 ,159人关注,6个月以前发布,VR房源房本满两年,单价38906元/平米,219万
房屋格局好，户型方正，满两年，唯,2室1厅 , 高楼层(共6层) ,新德三村 - 川沙, 59.89平米 , 南 , 1993年建 ,47人关注,5个月以前发布,近地铁VR房源房本满两年随时看房,单价34731元/平米,208万
有产权车位 全明户型，新装修，拎包入住 诚意出售,3室2厅 , 低楼层(共34层) ,国际丽都城 - 南京西路, 133.11平米 , 南 北 , 2003年建 ,147人关注,9个月以前发布,近地铁VR房源房本满五年,单价99167元/平米,1320万
温馨华丽三居室，婚房装修尽显品位，户型方正,3室2厅 , 低楼层(共18层) ,星金家园 - 曹路, 109.92平米 , 南 , 2012年建 ,79人关注,6个月以前发布,近地铁VR房源房本满五年,单价38210元/平米,420万
满五唯一+致远+双南双阳台+3楼+三地铁（6+9+14）+边套,2室1厅 , 中楼层(共6层) ,金杨新村四街坊 - 金杨, 70.51平米 , 南 , 1995年建 ,53人关注,5个月以前发布,近地铁VR房源房本满五年,单价60276元/平米,425万
中间楼层，欧式装修，全明边套净收眼底,2室0厅 , 中楼层(共4层) ,康乐小区(徐汇) - 康健, 53.92平米 , 南 , 1992年建 ,34人关注,28天以前发布,近地铁VR房源房本满两年,单价69548元/平米,375万
此房满五年 南北通正两房 自住装修 前后无遮挡,2室2厅 , 高楼层(共6层) ,妙栏小区 - 川沙, 74.38平米 , 南 , 1993年建 ,91人关注,7个月以前发布,近地铁VR房源房本满五年,单价39662元/平米,295万
8层电梯洋房带阁楼，买一层带一层，人车分流环境好,3室2厅 , 高楼层(共8层) ,海上纳缇 - 张堰, 88.35平米 , 南 , 2015年建 ,86人关注,6个月以前发布,VR房源房本满五年,单价35088元/平米,310万
2016年精装修的双南两房，非顶楼，月内卖掉概率达99%,2室1厅 , 高楼层(共6层) ,田林十二村 - 田林, 47.7平米 , 南 , 1986年建 ,17人关注,30天以前发布,VR房源随时看房,单价83858元/平米,400万
急售+婚房+8号线150米+中间位置5楼+另附大阳台！,1室1厅 , 高楼层(共6层) ,大三小区 - 曲阳, 39.74平米 , 南 , 1979年建 ,162人关注,一年前发布,近地铁VR房源房本满两年,单价56115元/平米,223万
南北两房，花园小区，闹中取静，精装拎包入住,2室2厅 , 中楼层(共24层) ,嘉瑞花苑 - 斜土路, 111.75平米 , 南 , 2001年建 ,28人关注,一年前发布,近地铁VR房源房本满五年,单价78300元/平米,875万
晴川佳苑11年房龄 小区环境好 地铁近 业主诚心出售,1室1厅 , 高楼层(共6层) ,晴川佳苑 - 川沙, 55.08平米 , 南 , 2011年建 ,27人关注,7个月以前发布,VR房源房本满两年随时看房,单价42666元/平米,235万
总价低，美丽一房，中间楼层，采光充足，视野佳,1室1厅 , 中楼层(共11层) ,塘和家园桂花锦苑 - 泗泾, 52.92平米 , 南 , 2013年建 ,84人关注,9个月以前发布,VR房源房本满五年随时看房,单价29951元/平米,158.5万
出门即是南京西路，全明大三房，让利百万诚售,3室2厅 , 低楼层(共32层) ,静安四季苑 - 南京西路, 154.98平米 , 南 , 2007年建 ,126人关注,4个月以前发布,近地铁VR房源房本满五年随时看房,单价108402元/平米,1680万
楼梯房三楼，满五年唯一，小区中间位置,3室2厅 , 中楼层(共6层) ,幸福小镇 - 高行, 98平米 , 南 北 , 2006年建 ,30人关注,3个月以前发布,VR房源房本满五年随时看房,单价51021元/平米,500万
花园小区婚房精装三房，带独立车库！,3室2厅 , 中楼层(共11层) ,人生港湾南欧城 - 惠南, 117.76平米 , 南 北 , 2009年建 ,38人关注,3个月以前发布,VR房源房本满两年随时看房,单价28024元/平米,330万
景观楼层，主卧朝南，户型好，采光通风好,2室1厅 , 高楼层(共6层) ,金杨新村九街坊 - 金杨, 57.04平米 , 南 北 , 1994年建 ,108人关注,3个月以前发布,近地铁VR房源房本满五年随时看房,单价48212元/平米,275万
满五唯一，大3房，诚意出售，有钥匙。,3室1厅 , 低楼层(共6层) ,园西小区 - 川沙, 66.45平米 , 南 , 1987年建 ,52人关注,3个月以前发布,近地铁VR房源房本满五年随时看房,单价39880元/平米,265万
买一层带一层，园西+15年买进+诚心出售看房随时,3室2厅 , 高楼层(共5层) ,新川公寓 - 川沙, 104.99平米 , 南 , 1997年建 ,27人关注,1个月以前发布,近地铁VR房源房本满两年随时看房,单价37147元/平米,390万
近地铁，配套成熟，产权清晰无户口，随时看房,3室2厅 , 高楼层(共6层) ,顺馨佳园 - 川沙, 120.84平米 , 南 北 , 2009年建 ,23人关注,8个月以前发布,近地铁VR房源房本满两年,单价40964元/平米,495万
店长急荐，本房前面花园，采光通风好，看房方便。,2室1厅 , 低楼层(共18层) ,惠康苑 - 惠南, 78.57平米 , 南 , 2014年建 ,106人关注,3个月以前发布,VR房源房本满两年,单价23546元/平米,185万
满五唯一，南北通透，楼层好，视野宽阔，采光充足。,2室2厅 , 高楼层(共6层) ,王桥苑 - 川沙, 88.76平米 , 南 北 , 2001年建 ,61人关注,3个月以前发布,近地铁VR房源房本满五年,单价35489元/平米,315万
配套好，出行便利，小型社区，环境舒适,3室1厅 , 高楼层(共14层) ,惠康苑西苑 - 惠南, 100.34平米 , 南 , 2014年建 ,17人关注,1个月以前发布,VR房源房本满两年,单价27009元/平米,271万
5号线龙湖天街旁，正气3房，满五唯一，景观位置，急售,3室1厅 , 高楼层(共6层) ,绿地新干线 - 颛桥, 81.89平米 , 南 , 2005年建 ,244人关注,9个月以前发布,VR房源房本满五年,单价36513元/平米,299万
新高苑新出电梯小户型，精装修自住，诚意出售,1室1厅 , 低楼层(共11层) ,新高苑(二期) - 高行, 58.51平米 , 南 , 2008年建 ,50人关注,6个月以前发布,VR房源房本满两年,单价46146元/平米,270万
双南户型，简单装修，通透格局好，采光好，近地铁,2室1厅 , 高楼层(共6层) ,红旗小区 - 老闵行, 67.15平米 , 南 , 1994年建 ,106人关注,7个月以前发布,近地铁VR房源房本满五年,单价27998元/平米,188万
近地铁，温馨华丽两居室，婚房装修尽显品位，户型方正,2室2厅 , 高楼层(共6层) ,丰怡苑 - 曹路, 89.85平米 , 南 , 2006年建 ,139人关注,5个月以前发布,VR房源房本满五年,单价33389元/平米,300万
满二唯一，看房方便。简约装修，采光好，视野开阔。,2室2厅 , 高楼层(共13层) ,丽景翠庭 - 杨行, 87.66平米 , 南 北 , 2009年建 ,38人关注,5个月以前发布,近地铁VR房源房本满两年,单价37418元/平米,328万
花苑村紫竹园 2室1厅 468万,2室1厅 , 6层 ,花苑村紫竹园 - 康健, 67.11平米 , 南 , 1990年建 ,18人关注,29天以前发布,VR房源,单价69737元/平米,468万
大三房，中间楼层采光好，面积宽敞。,3室2厅 , 中楼层(共5层) ,水岸家园 - 惠南, 130.15平米 , 南 北 , 2004年建 ,12人关注,4个月以前发布,VR房源房本满五年,单价23051元/平米,300万
业主诚心出售此房，一手动迁且满五唯一,3室2厅 , 低楼层(共15层) ,东绣苑 - 川沙, 101.31平米 , 南 , 2012年建 ,58人关注,4个月以前发布,VR房源房本满五年,单价42444元/平米,430万
让利百万诚售，出门即是南京西路高区南北通大两房。,2室2厅 , 高楼层(共28层) ,经典茂名公寓 - 南京西路, 127.71平米 , 南 北 , 2007年建 ,79人关注,2个月以前发布,近地铁VR房源房本满五年,单价126850元/平米,1620万
好房推荐：保利叶语 精装修+中秧空调 拎包入住,2室2厅 , 中楼层(共21层) ,保利叶语(一期)(公寓) - 顾村, 86.76平米 , 南 , 2012年建 ,74人关注,1个月以前发布,VR房源房本满五年,单价53597元/平米,465万
两房朝南，采光充足，视野开阔，前后无遮挡，看房方便,2室1厅 , 高楼层(共18层) ,惠康苑 - 惠南, 79平米 , 南 , 2014年建 ,39人关注,1个月以前发布,VR房源房本满两年,单价24051元/平米,190万
2003年房龄非顶楼此房满五唯一，看房提前联系+全明,2室1厅 , 高楼层(共6层) ,控江路1455弄 - 周家嘴路, 55.85平米 , 南 , 2003年建 ,79人关注,8个月以前发布,近地铁VR房源随时看房,单价56402元/平米,315万
保养完好，精装一房，采光足，视野好，有钥匙,1室1厅 , 中楼层(共24层) ,星颂家园 - 曹路, 54.3平米 , 南 , 2011年建 ,69人关注,一年前发布,VR房源随时看房,单价39595元/平米,215万
大一室 首套房首付21万出租2000 价格可谈 看房有钥匙,1室1厅 , 高楼层(共6层) ,月浦二村 - 月浦, 36.07平米 , 南 , 1982年建 ,76人关注,7个月以前发布,VR房源随时看房,单价30497元/平米,110万
惠益新苑 1室1厅 158万,1室1厅 , 低楼层(共18层) ,惠益新苑 - 惠南, 57.41平米 , 南 , 2014年建 ,10人关注,2个月以前发布,VR房源房本满五年,单价27522元/平米,158万
二期双南双阳台，精装两房，高区，看房方便。,2室2厅 , 中楼层(共32层) ,秋月枫舍 - 光新, 97.91平米 , 西南 , 2004年建 ,256人关注,一年前发布,近地铁VR房源房本满五年随时看房,单价72005元/平米,705万
曹路优选两房 户型方正 看房方便 诚意出售,2室2厅 , 低楼层(共24层) ,星晓家园 - 曹路, 82.84平米 , 南 , 2011年建 ,26人关注,3个月以前发布,VR房源房本满五年随时看房,单价37422元/平米,310万
户型方正明亮宽敞带花园，得房率高,3室2厅 , 低楼层(共6层) ,金色碧云 - 碧云, 122.54平米 , 南 , 2005年建 ,71人关注,6个月以前发布,近地铁VR房源,单价85687元/平米,1050万
妙境公寓153平大三房好楼层，有车库看房方便430万,3室2厅 , 低楼层(共5层) ,妙境公寓 - 川沙, 153.66平米 , 南 北 , 1996年建 ,31人关注,6个月以前发布,近地铁VR房源随时看房,单价27984元/平米,430万
老西门板块，双轨交汇，婚房装修，满五年，采光全天,1室0厅 , 高楼层(共7层) ,大林路43弄 - 老西门, 24.32平米 , 西 , 1992年建 ,152人关注,6个月以前发布,近地铁VR房源房本满五年,单价78125元/平米,190万
70年住宅，通煤气，酒店式管理，刷卡到户精装好房,1室2厅 , 中楼层(共32层) ,艾格美国际公寓 - 南京西路, 67.66平米 , 南 , 2006年建 ,35人关注,5个月以前发布,近地铁VR房源房本满两年,单价103163元/平米,698万
万达商圈，地铁22号线，一楼带30平大花园。看房方便。,2室1厅 , 低楼层(共6层) ,绿地玲珑寓 - 张堰, 77.45平米 , 南 , 2010年建 ,61人关注,3个月以前发布,VR房源,单价15494元/平米,120万
绿地品质小区，顶楼带阁楼，装修保养新,2室1厅 , 10层 ,绿地诺丁山(公寓) - 松江大学城, 45.36平米 , 南 , 2010年建 ,31人关注,2个月以前发布,VR房源,单价51808元/平米,235万
景观10楼，业主急售直接降价出售，有钥匙，随时看房,1室1厅 , 中楼层(共16层) ,绿地崴廉公寓 - 高行, 63.38平米 , 南 , 2007年建 ,64人关注,6个月以前发布,近地铁VR房源随时看房,单价55223元/平米,350万
