title,houseType,state,position,tags,unitPrice,totalPrice
御府景苑,住宅,在售,"['上海周边 ', ' 上海周边 ', ' 高兰公路55号']",低单价 低总价 环线房 现房,8000  元/平(均价),总价65万/套
苏河公园,住宅,在售,"['上海周边 ', ' 昆山 ', ' 绿地大道1299号']",品牌房企 地铁沿线 环线房 即将交房,23000  元/平(均价),总价195万/套
旭辉公元城市,住宅,在售,"['上海周边 ', ' 嘉兴 ', ' 永丰桥港与嘉善塘交汇处']",低总价 小户型 品牌房企 环线房,16200  元/平(均价),总价118万/套
奥园印象高迪,商业,在售,"['上海周边 ', ' 昆山 ', ' 景泾路与黄浦江路交汇处（景泾路以北，黄浦江路以东 ）']",低单价 低总价 公交直达 环线房,10650  元/平(均价),
中海九峯里,别墅,未开盘,"['松江 ', ' 小昆山 ', ' 文翔路昆水街']",环线房 即将交房 购物方便 综合商场,价格待定,
中海九峯里,住宅,在售,"['松江 ', ' 小昆山 ', ' 文翔路昆水街']",品牌房企 复式 环线房 低密居所,33000  元/平(均价),总价330万/套
旭辉招商嘉樾府,住宅,在售,"['上海周边 ', ' 嘉兴 ', ' 魏塘街道环北西路160号']",品牌房企 环线房 现房 低密居所,18500  元/平(均价),总价222万/套
香逸铂悦,住宅,在售,"['上海周边 ', ' 昆山 ', ' 金变路与远国路交汇处']",环线房 现房 绿化率高 购物方便,23000  元/平(均价),总价211万/套
颐和湾花园,住宅,在售,"['上海周边 ', ' 苏州 ', ' 太湖西路199号']",环线房 现房 绿化率高 购物方便,30000  元/平(均价),总价499万/套
吉翔·欣隆府,住宅,在售,"['上海周边 ', ' 嘉兴 ', ' 隆兴路95号南侧']",低总价 小户型 环线房 低密居所,13800  元/平(均价),总价106万/套
湖光里水秀庭院,别墅,在售,"['上海周边 ', ' 昆山 ', ' 天盛路68号']",复式 环线房 现房 低密居所,18500  元/平(均价),总价637万/套
南通·海上传奇,住宅,在售,"['上海周边 ', ' 南通 ', ' 海纳路南通·海上传奇']",低单价 环线房 低密居所 绿化率高,12000  元/平(均价),总价106万/套
招商花园城,底商,在售,"['宝山 ', ' 杨行 ', ' 水产路2199弄']",地铁沿线 公交直达 现房 娱乐丰富,60000  元/平(均价),
嘉润万象城,商业,在售,"['上海周边 ', ' 嘉兴 ', ' 圣堂路139号']",低总价 环线房 现房 购物方便,25000  元/平(均价),
合景悦湖四季,住宅,在售,"['上海周边 ', ' 启东 ', ' 建设南路合景悦湖四季']",环线房 现房 低密居所 购物方便,15480  元/平(均价),
东方之门,住宅,在售,"['上海周边 ', ' 苏州 ', ' 星港街199号']",环线房 现房 大型社区 购物方便,46000  元/平(均价),总价1744万/套
云间新天地,商业,在售,"['松江 ', ' 松江老城 ', ' 中山东路249号']",地铁沿线 公交直达 现房 娱乐丰富,55000  元/平(均价),
合生伴海,住宅,在售,"['上海周边 ', ' 太仓 ', ' 龙江路588号']",低单价 低总价 环线房 大型社区,9700  元/平(均价),总价79万/套
新湖明珠城,商业,在售,"['普陀 ', ' 武宁 ', ' 东新路88弄（一、二期）,东新路99弄（三期）']",环线房 现房,85000  元/平(均价),
佘山院子东园,住宅,在售,"['松江 ', ' 小昆山 ', ' 崇南公路499弄']",环线房 现房 低密居所 购物方便,33500  元/平(均价),总价298万/套
佘山院子东园,别墅,在售,"['松江 ', ' 小昆山 ', ' 崇南公路499弄']",低总价 入户花园 环线房 现房,48000  元/平(均价),总价470万/套
碧桂园十里芳华,别墅,在售,"['上海周边 ', ' 昆山 ', ' 新乐路2002号']",低总价 品牌房企 环线房 现房,20000  元/平(均价),总价269万/套
凤凰城天境,别墅,在售,"['奉贤 ', ' 海湾 ', ' 正旭路与云樱路交叉口']",公交直达 环线房 现房 小型社区,29900  元/平(均价),总价348万/套
新金浦,商业,在售,"['静安 ', ' 西藏北路 ', ' 七浦路368号, 七浦路303、363号, 七浦路258号']",低总价 环线房 现房 购物方便,120000  元/平(均价),
中南江山美宸,住宅,在售,"['崇明 ', ' 长兴岛 ', ' 潘园公路圆芳路路口']",环线房 现房 低密居所 购物方便,24507  元/平(均价),总价220万/套
当代和山悦MOMA,住宅,在售,"['上海周边 ', ' 嘉兴 ', ' 雅山东路313号']",低单价 低总价 品牌房企 小户型,12500  元/平(均价),总价85万/套
铂悦公馆,商业类,在售,"['青浦 ', ' 盈浦 ', ' 竹盈路340弄3号']",低总价 地铁沿线 公交直达 现房,32000  元/平(均价),
星月·金融湾,写字楼,在售,"['浦东 ', ' 北蔡 ', ' 罗山路4088弄']",低总价 地铁沿线 环线房 现房,58000  元/平(均价),
恒越华鼎广场,商业,在售,"['浦东 ', ' 杨思前滩 ', ' 海阳路693号']",环线房 现房 车位充足 娱乐丰富,115000  元/平(均价),
中南漫悦湾,住宅,在售,"['上海周边 ', ' 嘉兴 ', ' 乍全线与多凌路交叉口东南150米']",低总价 低单价 小户型 品牌房企,12500  元/平(均价),总价64万/套
万科翡翠滨江（一期）,商业,在售,"['浦东 ', ' 洋泾 ', ' 浦东大道1421']",环线房 现房 车位充足 银行,125000  元/平(均价),总价1000万/套
龙湖天钜,商业类,在售,"['闵行 ', ' 颛桥 ', ' 剑川路1100号']",低总价 环线房 现房 车位充足,42000  元/平(均价),
太仓港商贸中心,商业,在售,"['上海周边 ', ' 太仓 ', ' 新港路和沪浮璜路交叉口']",低单价 低总价 环线房 现房,7500  元/平(均价),
虹桥时代广场,写字楼,在售,"['青浦 ', ' 徐泾 ', ' 高光路169弄']",环线房,39000  元/平(均价),
象屿·西郊御府,住宅,在售,"['上海周边 ', ' 昆山 ', ' 曹浦路77号']",品牌房企 小户型 环线房 现房,22950  元/平(均价),总价161万/套
百汇园,住宅,在售,"['徐汇 ', ' 徐汇滨江 ', ' 云锦路183弄（原宛平南路1518弄）']",环线房 现房 低密居所,90000  元/平(均价),总价1773万/套
葛洲坝玉兰花园,住宅,在售,"['青浦 ', ' 香花桥 ', ' 清河湾路1699弄']",地铁沿线 环线房 现房 低密居所,39000  元/平(均价),总价710万/套
大宁揽翠艺墅,别墅,在售,"['静安 ', ' 大宁 ', ' 共和新路3001号, 广延路1099弄']",环线房 现房 低密居所,120000  元/平(均价),总价3000万/套
华侨城(普陀),住宅,未开盘,"['普陀 ', ' 长寿路 ', ' 西康路989弄,']",环线房 现房 绿化率高,100000  元/平(均价),
绿洲华亭茗苑,别墅,在售,"['嘉定 ', ' 华亭 ', ' 高竹路501弄']",环线房 现房 车位充足 美食云集,30000  元/平(均价),总价561万/套
绿洲香格丽花园(别墅),别墅,在售,"['嘉定 ', ' 徐行 ', ' 启悦路358弄']",环线房 现房 车位充足,40000  元/平(均价),总价780万/套
御涛园,别墅,在售,"['闵行 ', ' 马桥 ', ' 茜昆路518弄']",环线房 现房 低密居所,2900  万/套(总价),总价2900万/套
翡丽甲第,住宅,在售,"['杨浦 ', ' 东外滩 ', ' 辽阳路68弄']",复式 环线房 现房 低密居所,110000  元/平(均价),总价3480万/套
上海长滩,住宅,在售,"['宝山 ', ' 淞宝 ', ' 宝山牡丹江路富锦路']",环线房 绿化率高 大型社区 河景,55000  元/平(均价),总价460万/套
华纺和成未来派,住宅,在售,"['金山 ', ' 亭林 ', ' 九工路1885弄']",环线房 现房 低密居所,18690  元/平(均价),总价159万/套
尚海湾豪庭,住宅,在售,"['徐汇 ', ' 徐汇滨江 ', ' 东安路瑞宁路交叉口']",环线房 现房 车位充足,130000  元/平(均价),总价3263万/套
华润佘山九里,别墅,在售,"['松江 ', ' 泗泾 ', ' 古楼公路659弄,']",品牌房企 环线房 现房 购物方便,42000  元/平(均价),总价618万/套
中骏雍景湾,别墅,未开盘,"['青浦 ', ' 朱家角 ', ' 绿舟路58弄, 张家圩路299弄, 张家圩路333弄']",环线房 现房 低密居所,价格待定,
世茂佘山里,别墅,在售,"['松江 ', ' 佘山 ', ' 千新公路718弄']",环线房 现房 车位充足,1388  万/套(总价),总价1388万/套
尚汇豪庭,住宅,未开盘,"['徐汇 ', ' 田林 ', ' 华石路88弄23-36号']",环线房 现房 车位充足,102000  元/平(均价),
绿洲康城亲水湾(中央区),住宅,在售,"['浦东 ', ' 御桥 ', ' 康桥路1558弄']",小户型 地铁沿线 公交直达 现房,55000  元/平(均价),总价285万/套
长城逸府,住宅,在售,"['金山 ', ' 枫泾 ', ' 白牛路1068弄']",环线房 低密居所 绿化率高 购物方便,18600  元/平(均价),总价167万/套
路劲佘山院子,住宅,在售,"['松江 ', ' 小昆山 ', ' 松江松江崇南公路599弄']",小户型 环线房 现房 低密居所,35000  元/平(均价),总价266万/套
