title,rentType,position,direction,area,tags,price
梅陇十村,整租,徐汇-华东理工-梅陇十村 ,南 , 56㎡ ,随时看房,4200 元/月
沙家浜小区,整租,徐汇-华泾-沙家浜小区 ,南 , 65㎡ ,随时看房,3800 元/月
祝和苑,整租,浦东-祝桥-祝和苑 ,南 , 65㎡ ,随时看房,2200 元/月
寿昌坊,整租,徐汇-康健-寿昌坊 ,南 , 39㎡ ,近地铁 随时看房,4400 元/月
康健路100弄,整租,徐汇-康健-康健路100弄 ,南 , 38㎡ ,近地铁 随时看房,4400 元/月
俞三小区,整租,徐汇-龙华-俞三小区 ,南 , 41㎡ ,精装 随时看房,4300 元/月
复兴东路404弄,整租,黄浦-董家渡-复兴东路404弄 ,南 , 21㎡ ,近地铁 精装 随时看房,4800 元/月
中山南一路246弄,整租,黄浦-世博滨江-中山南一路246弄 ,南 , 29㎡ ,近地铁 随时看房,4850 元/月
长青坊,整租,徐汇-康健-长青坊 ,南 , 31㎡ ,随时看房,3800 元/月
西凌新邨,整租,黄浦-蓬莱公园-西凌新邨 ,南 , 27㎡ ,近地铁 随时看房,4260 元/月
红梅小区(长宁),整租,长宁-北新泾-红梅小区(长宁) ,南 , 49㎡ ,近地铁 随时看房,5200 元/月
紫竹小区,整租,长宁-北新泾-紫竹小区 ,南 , 36㎡ ,近地铁 随时看房,4900 元/月
虹桥机场新村,整租,长宁-西郊-虹桥机场新村 ,南 , 52㎡ ,精装 随时看房,5000 元/月
虹霞小区,整租,长宁-仙霞-虹霞小区 ,南 , 33㎡ ,近地铁 随时看房,5000 元/月
长虹小区,整租,长宁-新华路-长虹小区 ,南 , 37㎡ ,近地铁 精装 随时看房,4999 元/月
宛南六村,整租,徐汇-龙华-宛南六村 ,南 , 33㎡ ,近地铁 随时看房,4500 元/月
绿园一村,整租,长宁-北新泾-绿园一村 ,南 北 , 56㎡ ,近地铁 随时看房,4900 元/月
梅陇六村,整租,徐汇-华东理工-梅陇六村 ,南 , 42㎡ ,随时看房,3800 元/月
梅苑,整租,徐汇-华东理工-梅苑 ,南 , 44㎡ ,近地铁 随时看房,3700 元/月
斜土路520-540号,整租,黄浦-五里桥-斜土路520-540号 ,北 , 32㎡ ,近地铁 精装 随时看房,5000 元/月
梅陇九村,整租,徐汇-华东理工-梅陇九村 ,南 , 45㎡ ,随时看房,3550 元/月
华松小区,整租,长宁-北新泾-华松小区 ,南 , 55㎡ ,近地铁 随时看房,5200 元/月
瞿溪路463弄,整租,黄浦-蓬莱公园-瞿溪路463弄 ,南 , 29㎡ ,近地铁 精装 随时看房,4580 元/月
普庆里,整租,黄浦-新天地-普庆里 ,北 , 14㎡ ,近地铁 随时看房,3800 元/月
田林十四村,整租,徐汇-田林-田林十四村 ,南 , 35㎡ ,近地铁 随时看房,4400 元/月
汇成四村,整租,徐汇-上海南站-汇成四村 ,南 , 50㎡ ,随时看房,4200 元/月
汇成三村,整租,徐汇-上海南站-汇成三村 ,南 , 54㎡ ,随时看房,4500 元/月
康乐小区(徐汇),整租,徐汇-康健-康乐小区(徐汇) ,南 , 38㎡ ,近地铁 随时看房,4000 元/月
新泾四村,整租,长宁-北新泾-新泾四村 ,东 , 37㎡ ,近地铁 精装 随时看房,4800 元/月
花苑村紫竹园,整租,徐汇-康健-花苑村紫竹园 ,南 , 42㎡ ,随时看房,4500 元/月
上中路100弄,整租,徐汇-上海南站-上中路100弄 ,南 , 35㎡ ,随时看房,4000 元/月
陇南小区,整租,徐汇-华东理工-陇南小区 ,南 , 48㎡ ,随时看房,3500 元/月
海潮新村,整租,黄浦-蓬莱公园-海潮新村 ,南 , 33㎡ ,近地铁 精装 随时看房,5190 元/月
寿昌坊,整租,徐汇-康健-寿昌坊 ,南 , 38㎡ ,近地铁 随时看房,4500 元/月
花苑村紫竹园,整租,徐汇-康健-花苑村紫竹园 ,南 西 , 44㎡ ,随时看房,4500 元/月
梅陇九村,整租,徐汇-华东理工-梅陇九村 ,南 , 45㎡ ,精装 随时看房,4100 元/月
长青坊,整租,徐汇-康健-长青坊 ,南 北 , 31㎡ ,随时看房,4400 元/月
凌云新村,整租,徐汇-华东理工-凌云新村 ,南 , 40㎡ ,近地铁 精装 随时看房,4100 元/月
三江小区,整租,徐汇-龙华-三江小区 ,南 , 36㎡ ,近地铁 精装 随时看房,4500 元/月
百龙小区,整租,徐汇-植物园-百龙小区 ,南 , 85㎡ ,精装 随时看房,5800 元/月
仁恒运杰河滨花园,整租,青浦-夏阳-仁恒运杰河滨花园 ,南 , 86㎡ ,精装 随时看房,3500 元/月
罗秀二村,整租,徐汇-长桥-罗秀二村 ,南 , 59㎡ ,精装 随时看房,4700 元/月
梅陇十村,整租,徐汇-华东理工-梅陇十村 ,南 , 61㎡ ,随时看房,4900 元/月
新华小区（龙吴路5599弄）,整租,闵行-吴泾-新华小区（龙吴路5599弄） ,南 北 , 61㎡ ,随时看房,2700 元/月
绿园四村,整租,长宁-西郊-绿园四村 ,南 , 89㎡ ,随时看房,6800 元/月
五浦汇A区新塘苑,整租,青浦-盈浦-五浦汇A区新塘苑 ,南 , 75㎡ ,精装 随时看房,3000 元/月
虹古大楼,整租,长宁-仙霞-虹古大楼 ,南 , 74㎡ ,新上 近地铁 精装 随时看房,7500 元/月
东湾小区,整租,徐汇-华泾-东湾小区 ,南 北 , 82㎡ ,随时看房,4600 元/月
西部花苑（一期、三期）,整租,青浦-盈浦-西部花苑（一期、三期） ,南 , 90㎡ ,随时看房,3200 元/月
桃源新村,整租,黄浦-老西门-桃源新村 ,南 , 42㎡ ,近地铁 随时看房,6500 元/月
君悦静安,整租,静安-曹家渡-君悦静安 ,南 , 55㎡ ,近地铁 精装 随时看房,7000 元/月
广元西路420弄,整租,徐汇-徐家汇-广元西路420弄 ,南 , 41㎡ ,近地铁 精装 随时看房,5680 元/月
延平路482弄,整租,静安-曹家渡-延平路482弄 ,南 , 35㎡ ,近地铁 精装 随时看房,5000 元/月
蓝天新村,整租,松江-松江老城-蓝天新村 ,南 , 45㎡ ,随时看房,2200 元/月
化工小区(长宁),整租,长宁-新华路-化工小区(长宁) ,南 , 43㎡ ,近地铁 精装 随时看房,5300 元/月
中福浦江汇,整租,黄浦-蓬莱公园-中福浦江汇 ,南 , 51㎡ ,近地铁 精装 随时看房,7990 元/月
东都小区,整租,浦东-川沙-东都小区 ,南 , 39㎡ ,近地铁 精装 随时看房,3500 元/月
怡绿公寓,整租,黄浦-五里桥-怡绿公寓 ,南 , 87㎡ ,近地铁 随时看房,8450 元/月
华松小区,整租,长宁-北新泾-华松小区 ,南 , 80㎡ ,近地铁 精装 随时看房,6500 元/月
花园公寓(卢湾),整租,黄浦-新天地-花园公寓(卢湾) ,南 , 42㎡ ,近地铁 精装 随时看房,7000 元/月
钦州路111弄,整租,徐汇-康健-钦州路111弄 ,南 , 35㎡ ,近地铁 随时看房,5400 元/月
月厦新天地,整租,松江-松江老城-月厦新天地 ,南 , 48㎡ ,近地铁 精装 随时看房,2200 元/月
花苑村丁香园,整租,徐汇-康健-花苑村丁香园 ,南 , 61㎡ ,近地铁 精装 随时看房,5400 元/月
淞虹苑,整租,长宁-北新泾-淞虹苑 ,南 , 74㎡ ,近地铁 精装 随时看房,7800 元/月
万宜坊,整租,黄浦-新天地-万宜坊 ,南 , 52㎡ ,近地铁 精装 随时看房,8100 元/月
协昌小区,整租,徐汇-龙华-协昌小区 ,东 , 57㎡ ,近地铁 精装 随时看房,5990 元/月
蓝天新村,整租,松江-松江老城-蓝天新村 ,南 , 45㎡ ,随时看房,2200 元/月
桥一小区,整租,黄浦-五里桥-桥一小区 ,南 , 47㎡ ,近地铁 随时看房,6450 元/月
君悦静安,整租,静安-曹家渡-君悦静安 ,南 , 45㎡ ,近地铁 精装 随时看房,6980 元/月
桃源新村,整租,黄浦-老西门-桃源新村 ,南 , 42㎡ ,近地铁 随时看房,6500 元/月
君悦静安,整租,静安-曹家渡-君悦静安 ,南 , 55㎡ ,近地铁 精装 随时看房,7000 元/月
清宁小区,整租,长宁-中山公园-清宁小区 ,南 , 49㎡ ,随时看房,6600 元/月
东都小区,整租,浦东-川沙-东都小区 ,南 , 39㎡ ,近地铁 精装 随时看房,3500 元/月
中福浦江汇,整租,黄浦-蓬莱公园-中福浦江汇 ,南 , 51㎡ ,近地铁 精装 随时看房,7990 元/月
河风丽景,整租,长宁-天山-河风丽景 ,南 , 55㎡ ,近地铁 随时看房,8300 元/月
长丰坊,整租,徐汇-康健-长丰坊 ,南 , 44㎡ ,随时看房,4700 元/月
昭化东路73号,整租,长宁-镇宁路-昭化东路73号 ,东南 南 , 30㎡ ,近地铁 随时看房,5300 元/月
番禺大厦,整租,长宁-新华路-番禺大厦 ,南 , 44㎡ ,近地铁 精装 随时看房,6400 元/月
金虹苑小区,整租,长宁-西郊-金虹苑小区 ,南 , 65㎡ ,精装 随时看房,7000 元/月
翡翠公寓,整租,长宁-古北-翡翠公寓 ,南 , 90㎡ ,近地铁 精装 随时看房,8600 元/月
日晖二村,整租,徐汇-斜土路-日晖二村 ,南 , 32㎡ ,近地铁 随时看房,5300 元/月
东渡青筑,整租,青浦-盈浦-东渡青筑 ,南 , 70㎡ ,精装 随时看房,2900 元/月
南昌路151弄,整租,黄浦-淮海中路-南昌路151弄 ,南 , 28㎡ ,近地铁 随时看房,6000 元/月
广电大楼,整租,静安-静安寺-广电大楼 ,南 , 31㎡ ,近地铁 精装 随时看房,7000 元/月
仙逸小区,整租,长宁-仙霞-仙逸小区 ,南 , 49㎡ ,新上 近地铁 精装 随时看房,6800 元/月
泰山一村,整租,普陀-甘泉宜川-泰山一村 ,南 , 33㎡ ,随时看房,3490 元/月
泰东新村(徐汇),整租,徐汇-徐家汇-泰东新村(徐汇) ,南 , 42㎡ ,近地铁 随时看房,5680 元/月
虹旭小区,整租,长宁-虹桥-虹旭小区 ,南 , 53㎡ ,近地铁 随时看房,6400 元/月
田林十四村,整租,徐汇-田林-田林十四村 ,南 , 37㎡ ,近地铁 随时看房,4800 元/月
虹霞小区,整租,长宁-仙霞-虹霞小区 ,南 , 36㎡ ,近地铁 精装 随时看房,5400 元/月
钦州路111弄,整租,徐汇-康健-钦州路111弄 ,南 北 , 55㎡ ,近地铁 随时看房,4800 元/月
昌四小区,整租,浦东-世博-昌四小区 ,南 , 30㎡ ,近地铁 随时看房,3500 元/月
康定路991号,整租,静安-曹家渡-康定路991号 ,南 , 50㎡ ,近地铁 精装 随时看房,6300 元/月
虹霞小区,整租,长宁-仙霞-虹霞小区 ,南 , 36㎡ ,近地铁 精装 随时看房,5400 元/月
科宁公寓,整租,长宁-中山公园-科宁公寓 ,南 , 46㎡ ,近地铁 精装 随时看房,6700 元/月
马当小区,整租,黄浦-新天地-马当小区 ,东 , 43㎡ ,近地铁 精装 随时看房,7800 元/月
复兴西路22弄,整租,徐汇-衡山路-复兴西路22弄 ,南 , 40㎡ ,近地铁 精装 随时看房,6500 元/月
南桥小区,整租,浦东-川沙-南桥小区 ,南 北 , 41㎡ ,近地铁 随时看房,2900 元/月
虹二小区,整租,徐汇-徐家汇-虹二小区 ,南 , 34㎡ ,近地铁 精装 随时看房,4800 元/月
维罗纳贵都,整租,松江-松江老城-维罗纳贵都 ,南 , 36㎡ ,精装 随时看房,2200 元/月
万乐城(商业类),整租,闵行-吴泾-万乐城(商业类) ,南 , 27㎡ ,精装 随时看房,2500 元/月
长海坊,整租,徐汇-康健-长海坊 ,南 , 49㎡ ,随时看房,5500 元/月
乐山一村,整租,徐汇-徐家汇-乐山一村 ,南 , 45㎡ ,近地铁 随时看房,5200 元/月
斜土路2200弄,整租,徐汇-徐家汇-斜土路2200弄 ,南 , 34㎡ ,近地铁 随时看房,5000 元/月
万象园,整租,徐汇-康健-万象园 ,南 , 50㎡ ,近地铁 精装 随时看房,5200 元/月
长丰坊,整租,徐汇-康健-长丰坊 ,南 , 52㎡ ,随时看房,5200 元/月
新泾五村,整租,长宁-北新泾-新泾五村 ,南 , 57㎡ ,近地铁 精装 随时看房,5800 元/月
紫荆新苑,整租,黄浦-世博滨江-紫荆新苑 ,南 , 89㎡ ,近地铁 随时看房,8500 元/月
花苑村桂花园,整租,徐汇-康健-花苑村桂花园 ,南 , 60㎡ ,近地铁 精装 随时看房,5750 元/月
田林三村,整租,徐汇-田林-田林三村 ,南 , 33㎡ ,近地铁 随时看房,4700 元/月
田林三村,整租,徐汇-田林-田林三村 ,南 , 32㎡ ,近地铁 随时看房,4600 元/月
罗秀三村,整租,徐汇-植物园-罗秀三村 ,南 , 52㎡ ,随时看房,5000 元/月
虹古大楼,整租,长宁-仙霞-虹古大楼 ,南 , 75㎡ ,新上 近地铁 随时看房,7500 元/月
漕溪三村,整租,徐汇-万体馆-漕溪三村 ,南 , 49㎡ ,近地铁 精装 随时看房,5990 元/月
汇成三村,整租,徐汇-上海南站-汇成三村 ,南 , 52㎡ ,随时看房,4600 元/月
宛南六村,整租,徐汇-龙华-宛南六村 ,南 北 , 50㎡ ,近地铁 随时看房,5800 元/月
宛南三村,整租,徐汇-龙华-宛南三村 ,南 , 47㎡ ,近地铁 随时看房,6150 元/月
金菊小区,整租,长宁-北新泾-金菊小区 ,南 北 , 47㎡ ,近地铁 精装 随时看房,6500 元/月
长青坊,整租,徐汇-康健-长青坊 ,南 , 39㎡ ,随时看房,4600 元/月
寿祥坊,整租,徐汇-康健-寿祥坊 ,西 , 58㎡ ,近地铁 随时看房,5300 元/月
水清苑,整租,闵行-莘庄-水清苑 ,南 , 70㎡ ,随时看房,4300 元/月
蔷薇新村,整租,闵行-春申-蔷薇新村 ,南 , 55㎡ ,精装 随时看房,3800 元/月
莲花新村,整租,闵行-春申-莲花新村 ,南 , 56㎡ ,随时看房,3300 元/月
舒馨北苑,整租,浦东-川沙-舒馨北苑 ,南 , 73㎡ ,随时看房,4300 元/月
西环四村,整租,闵行-莘庄-西环四村 ,南 , 60㎡ ,随时看房,3900 元/月
夏朵园,整租,闵行-老闵行-夏朵园 ,南 , 88㎡ ,随时看房,3750 元/月
翔和雅苑,整租,嘉定-南翔-翔和雅苑 ,南 , 54㎡ ,精装 随时看房,3390 元/月
夏朵园,整租,闵行-老闵行-夏朵园 ,南 , 88㎡ ,随时看房,3750 元/月
高兴花园,整租,闵行-春申-高兴花园 ,南 , 66㎡ ,随时看房,4200 元/月
君莲新城中城苑,整租,闵行-颛桥-君莲新城中城苑 ,南 , 83㎡ ,随时看房,4380 元/月
佳伟景苑,整租,浦东-曹路-佳伟景苑 ,南 , 74㎡ ,随时看房,4700 元/月
莘松七村,整租,闵行-莘庄-莘松七村 ,南 北 , 54㎡ ,随时看房,4000 元/月
夏朵园,整租,闵行-老闵行-夏朵园 ,南 , 86㎡ ,双卫生间 随时看房,4100 元/月
莘松七村,整租,闵行-莘庄-莘松七村 ,南 , 54㎡ ,随时看房,4200 元/月
银兆公寓,整租,闵行-春申-银兆公寓 ,南 , 70㎡ ,精装 随时看房,4000 元/月
鑫港苑,整租,浦东-唐镇-鑫港苑 ,南 , 54㎡ ,精装 随时看房,4600 元/月
宝业爱多邦,整租,青浦-赵巷-宝业爱多邦 ,南 , 78㎡ ,精装 随时看房,3900 元/月
同济东时区,整租,浦东-川沙-同济东时区 ,南 北 , 90㎡ ,精装 随时看房,4100 元/月
新凯城尚樱苑,整租,松江-泗泾-新凯城尚樱苑 ,南 , 74㎡ ,随时看房,3500 元/月
同济东时区,整租,浦东-川沙-同济东时区 ,南 , 90㎡ ,精装 随时看房,4300 元/月
市北祥腾麓源,整租,松江-松江老城-市北祥腾麓源 ,南 北 , 99㎡ ,精装 双卫生间 随时看房,3400 元/月
高兴花园,整租,闵行-春申-高兴花园 ,南 , 70㎡ ,精装 随时看房,4300 元/月
禹洲府,整租,闵行-老闵行-禹洲府 ,南 北 , 78㎡ ,精装 随时看房,4000 元/月
舜峰家苑,整租,浦东-曹路-舜峰家苑 ,南 北 , 76㎡ ,随时看房,4900 元/月
金丰小区,整租,闵行-华漕-金丰小区 ,南 北 , 68㎡ ,精装 随时看房,4500 元/月
海尚名都,整租,松江-松江老城-海尚名都 ,南 , 90㎡ ,随时看房,3050 元/月
万嘉欣苑,整租,浦东-合庆-万嘉欣苑 ,南 , 55㎡ ,随时看房,4600 元/月
高兴花园,整租,闵行-春申-高兴花园 ,南 , 67㎡ ,随时看房,4200 元/月
禹洲府,整租,闵行-老闵行-禹洲府 ,南 北 , 77㎡ ,精装 随时看房,4000 元/月
首创禧悦(一期),整租,青浦-盈浦-首创禧悦(一期) ,南 , 76㎡ ,精装 随时看房,4300 元/月
禹洲府,整租,闵行-老闵行-禹洲府 ,南 北 , 78㎡ ,精装 随时看房,4000 元/月
鑫都城宝铭苑,整租,闵行-颛桥-鑫都城宝铭苑 ,南 , 57㎡ ,随时看房,3700 元/月
虹桥路400弄,整租,徐汇-徐家汇-虹桥路400弄 ,西南 , 74㎡ ,近地铁 随时看房,8600 元/月
临沂三村,整租,浦东-南码头-临沂三村 ,南 , 39㎡ ,近地铁 随时看房,4200 元/月
青年路25弄,整租,闵行-七宝-青年路25弄 ,南 , 46㎡ ,近地铁 精装 随时看房,4480 元/月
徐虹公寓,整租,徐汇-徐家汇-徐虹公寓 ,南 北 , 70㎡ ,近地铁 精装 随时看房,7800 元/月
凌兆新村(上浦路202弄),整租,浦东-三林-凌兆新村(上浦路202弄) ,南 , 74㎡ ,近地铁 随时看房,5500 元/月
联鑫坊,整租,浦东-金桥-联鑫坊 ,南 北 , 78㎡ ,近地铁 随时看房,5500 元/月
人乐三村,整租,松江-松江老城-人乐三村 ,南 , 53㎡ ,近地铁 随时看房,2500 元/月
上钢一村,整租,浦东-世博-上钢一村 ,南 , 36㎡ ,近地铁 随时看房,4000 元/月
金杨新村四街坊,整租,浦东-金杨-金杨新村四街坊 ,南 , 43㎡ ,近地铁 随时看房,4200 元/月
又一村(静安),整租,静安-江宁路-又一村(静安) ,南 , 66㎡ ,近地铁 精装 随时看房,8200 元/月
上城Uptown,整租,长宁-古北-上城Uptown ,南 , 53㎡ ,精装 随时看房,11800 元/月
