title,houseType,floor,position,area,direction,buildTime,viewNum,time,tags,unitPrice,totalPrice
卢沟桥南里 2室1厅 258万,2室1厅 , 低楼层(共6层) ,卢沟桥南里 - 卢沟桥, 59.7平米 , 南 北 , 1995年建 ,75人关注,23天以前发布,VR房源,单价43217元/平米,258万
经典户型，业主自住，精装修，现状好，出行方便,1室1厅 , 高楼层(共16层) ,京西紫金新园 - 石门营, 60.83平米 , 南 北 , 2010年建 ,87人关注,26天以前发布,近地铁VR房源房本满五年,单价37811元/平米,230万
满五唯一，电梯房，视野开阔配套设施齐全，交通方便,1室0厅 , 中楼层(共14层) ,永兴嘉园 - 滨河西区, 47.44平米 , 北 , 2006年建 ,34人关注,1个月以前发布,VR房源房本满五年,单价37732元/平米,179万
亦庄与通州交界处 润枫领尚小区两居室 看房方便,2室1厅 , 低楼层(共18层) ,润枫领尚 - 通州其它, 88.19平米 , 南 北 , 2013年建 ,269人关注,一年前发布,VR看装修房本满两年随时看房,单价38554元/平米,340万
管理好 人文素质高 商品房 视野好,2室2厅 , 中楼层(共18层) ,国际友谊花园 - 国展, 147.02平米 , 西北 , 1998年建 ,130人关注,一年前发布,近地铁VR房源房本满五年随时看房,单价55775元/平米,820万
精装修 中楼层 南北通透 满五唯一,3室1厅 , 中楼层(共4层) ,东方小区 - 门头沟其它, 72.83平米 , 南 北 , 1986年建 ,909人关注,一年前发布,VR看装修房本满五年随时看房,单价18262元/平米,133万
康馨家园 南北通透 中间楼层 毛坯房,2室1厅 , 中楼层(共28层) ,广安﹒康馨家园 - 青塔, 73.53平米 , 南 北 , 2015年建 ,67人关注,9个月以前发布,VR房源房本满两年随时看房,单价48280元/平米,355万
四环内韩庄子四里 满五唯一 正规三居室带阳台 中间层,3室1厅 , 中楼层(共6层) ,韩庄子四里 - 看丹桥, 70平米 , 东 南 西 , 1992年建 ,134人关注,9个月以前发布,近地铁VR房源房本满五年随时看房,单价50858元/平米,356万
彩虹新城，满五年唯一两居室，业主诚心出售,2室1厅 , 低楼层(共12层) ,彩虹新城 - 枣园, 95.58平米 , 西南 , 2008年建 ,118人关注,8个月以前发布,近地铁VR房源房本满五年随时看房,单价41746元/平米,399万
北京方向 3室1厅 730万,3室1厅 , 低楼层(共19层) ,北京方向 - 科技园区, 119.94平米 , 东 南 北 , 2015年建 ,41人关注,7个月以前发布,近地铁VR房源房本满两年随时看房,单价60864元/平米,730万
西四环低密度德式花园下跃复式房源,3室2厅 , 底层(共7层) ,大成郡 - 岳各庄, 159.65平米 , 南 北 , 2012年建 ,103人关注,7个月以前发布,VR房源房本满五年随时看房,单价74852元/平米,1195万
此房满五年业主名下唯一住房，节省购房成本东北朝向,2室1厅 , 底层(共18层) ,阳光四季 - 科技园区, 103.88平米 , 东北 , 1996年建 ,96人关注,6个月以前发布,近地铁VR房源房本满五年随时看房,单价39277元/平米,408万
宝隆温泉公寓高层一居室采光充足视野好,1室1厅 , 高楼层(共31层) ,宝隆温泉公寓 - 科技园区, 56.8平米 , 南 , 2000年建 ,436人关注,一年前发布,近地铁VR看装修房本满两年随时看房,单价41374元/平米,235万
满五唯一 中楼层 交通便利 配套齐全 三面采光,2室1厅 , 中楼层(共7层) ,黑山东街 - 大峪, 75.4平米 , 东 南 西 , 1994年建 ,105人关注,一年前发布,VR房源房本满五年,单价33008元/平米,248.9万
