title,houseType,state,position,tags,unitPrice,totalPrice
天恒水岸壹号,别墅,在售,"['房山 ', ' 良乡 ', ' 良乡大学城西站地铁南侧400米，刺猬河旁']",公交直达 环线房 现房 车位充足,1000  万/套(总价),总价1100万/套
观唐云鼎,住宅,在售,"['密云 ', ' 密云其它 ', ' 密溪路39号院']",旅游地产 养老房 公交直达 多轨交汇,480  万/套(总价),总价480万/套
尚峯壹號,商业类,在售,"['顺义 ', ' 顺义其它 ', ' 中央别墅北区京承高速11号出口, 天承环路8号院']",水系园林 环线房 临近高速 现房,36000  元/平(均价),
运河铭著,住宅,在售,"['通州 ', ' 北关 ', ' 商通大道与榆东一街交叉口，温榆河森林公园东500米']",环线房 现房 大型社区,46000  元/平(均价),总价460万/套
万年广阳郡九号,住宅,在售,"['房山 ', ' 长阳 ', ' 长阳清苑南街与汇商东路交汇处西北角']",视频看房 环线房 现房 低密居所,48500  元/平(均价),总价680万/套
华远裘马四季,住宅,在售,"['门头沟 ', ' 大峪 ', ' 增产路16号院']",品牌房企 科技住宅 公交直达 环线房,60000  元/平(均价),总价950万/套
懋源钓云台,住宅,在售,"['丰台 ', ' 玉泉营 ', ' 西三环康庄东路于丰台东路交汇西南角, 康庄东路9号院']",环线房 近主干道 现房 车位充足,2900  万/套(总价),总价3263万/套
V7九间堂,别墅,在售,"['通州 ', ' 潞苑 ', ' 通燕高速耿庄桥北出口中化石油对面']",私属庭院 入户花园 环线房 近主干道,1600  万/套(总价),总价1600万/套
北京城建国誉府,住宅,在售,"['房山 ', ' 长阳 ', ' 地铁良乡大学城北站东北约1300米，文昌东路与阜盛东街交汇处']",品牌房企 贴心物业 环线房 现房,48000  元/平(均价),总价1000万/套
御汤山熙园,别墅,在售,"['昌平 ', ' 昌平其它 ', ' 小汤山疗养院西侧，紧邻安泗路，距离北六环61号出口约2000米']",温泉入户 环线房 临近高速 现房,1800  万/套(总价),总价1800万/套
华远和墅,别墅,在售,"['大兴 ', ' 大兴其它 ', ' 南六环磁各庄桥沿南中轴向南2公里']",品牌房企 贴心物业 环线房 现房,1580  万/套(总价),总价1580万/套
天资华府,住宅,在售,"['房山 ', ' 长阳 ', ' 长阳CSD办公楼南侧（京港澳高速长阳出口西1000米）']",环线房 现房 车位充足,42000  元/平(均价),
檀香府,别墅,在售,"['门头沟 ', ' 门头沟其它 ', ' 京潭大街与潭柘十街交叉口']",水系园林 自持商业 环线房 现房,55000  元/平(均价),总价1060万/套
观山源墅,别墅,在售,"['房山 ', ' 良乡 ', ' 阳光北大街与多宝路交汇处西南（理工大学北校区西侧）']",贴心物业 自持商业 环线房 现房,47500  元/平(均价),总价1200万/套
中国铁建花语金郡,住宅,在售,"['大兴 ', ' 瀛海 ', ' 南海子公园西侧(南五环旧忠桥向南第二个红绿灯西300米)']",品牌房企 贴心物业 环线房 现房,66000  元/平(均价),总价1060万/套
中国铁建万科翡翠长安,住宅,在售,"['门头沟 ', ' 门头沟其它 ', ' 西长安街沿线与六环交汇处西南1.2公里处']",品牌房企 科技住宅 环线房 现房,57000  元/平(均价),总价950万/套
电建金地华宸,住宅,在售,"['门头沟 ', ' 门头沟其它 ', ' 长安街西延线南侧约500米']",品牌房企 科技住宅 地铁沿线 公交直达,64000  元/平(均价),总价1700万/套
北辰墅院1900,别墅,在售,"['顺义 ', ' 马坡 ', ' 顺义区顺兴街11号院望尊园']",旅游地产 复式 公交直达 环线房,43000  元/平(均价),
首创天阅西山,住宅,在售,"['海淀 ', ' 海淀北部新区 ', ' 永丰路与北清路交汇处东北角，中关村壹号北']",品牌房企 地铁沿线 公交直达 现房,1500  万/套(总价),
北科建泰禾丽春湖院子,别墅,在售,"['昌平 ', ' 沙河 ', ' 中关村北延新核心，沙河水库边（地铁昌平线沙河站向南800米）']",品牌房企 水系园林 地铁沿线 环线房,2500  万/套(总价),总价2700万/套
绿地海珀云翡,住宅,在售,"['大兴 ', ' 大兴其它 ', ' 兴亦路京开高速东侧（黄村镇第一中心小学对面）']",视频看房 品牌房企 公交直达 环线房,70000  元/平(均价),总价690万/套
都丽华府,住宅,在售,"['平谷 ', ' 平谷其它 ', ' 新平南路与林荫南街交汇处向西100米']",贴心物业 环线房 现房 车位充足,300  万/套(总价),总价306万/套
中粮京西祥云,住宅,在售,"['房山 ', ' 长阳 ', ' 地铁稻田站北800米，西邻京深路']",品牌房企 贴心物业 地铁沿线 环线房,58000  元/平(均价),总价700万/套
中昂时代广场,商业,在售,"['门头沟 ', ' 大峪 ', ' 门头沟路9号博物馆对面']",环线房 现房 娱乐丰富 综合商场,100000  元/平(均价),
燕西华府,住宅,在售,"['丰台 ', ' 丰台其它 ', ' 王佐镇青龙湖公园东1500米, 泉湖西路1号院（七区）, 泉湖西路1号院（六区）']",中式建筑 公交直达 环线房 现房,49800  元/平(均价),总价650万/套
天恒水岸壹号,住宅,在售,"['房山 ', ' 良乡 ', ' 良乡大学城西站地铁南侧400米，刺猬河旁']",七天无忧退房 视频看房 水系园林 公交直达,600  万/套(总价),总价500万/套
紫辰院,住宅,在售,"['丰台 ', ' 岳各庄 ', ' 岳各庄北桥东北角200米处']",水系园林 地铁沿线 公交直达 现房,120000  元/平(均价),总价3192万/套
天恒摩墅,别墅,在售,"['房山 ', ' 房山其它 ', ' 周口店镇政府东200米']",七天无忧退房 自持商业 环线房 临近高速,370  万/套(总价),总价350万/套
兴创荣墅,别墅,在售,"['大兴 ', ' 大兴其它 ', ' 采育镇育胜街与福源路交叉口西侧350米路南']",品牌房企 贴心物业 环线房 大型社区,1100  万/套(总价),总价850万/套
景粼原著,别墅,在售,"['朝阳 ', ' 中央别墅区 ', ' 京密路与顺黄路交叉路口往西200米']",品牌房企 私属庭院 地铁沿线 环线房,4000  万/套(总价),总价4000万/套
首创禧瑞山,别墅,在售,"['顺义 ', ' 马坡 ', ' 牛栏山镇昌金路与右堤路交界处']",环线房 现房 小型社区 购物方便,830  万/套(总价),总价680万/套
观山源墅,住宅,在售,"['房山 ', ' 良乡 ', ' 阳光北大街与多宝路交汇处西南（理工大学北校区西侧）']",贴心物业 自持商业 环线房 近主干道,47500  元/平(均价),总价420万/套
北辰墅院1900,住宅,在售,"['顺义 ', ' 马坡 ', ' 顺义区顺兴街11号院望尊园']",明星户型 旅游地产 公交直达 环线房,43000  元/平(均价),总价508万/套
利锦府府上,住宅,在售,"['朝阳 ', ' 东坝 ', ' 东五环七棵树出口沿东坝中街向东1500米, 红松园北里18号院']",公交直达 环线房 现房 车位充足,60000  元/平(均价),总价1700万/套
中骏西山天璟,住宅,在售,"['门头沟 ', ' 城子 ', ' 西山永定楼北300米']",品牌房企 健身跑道 环线房 大型社区,65000  元/平(均价),总价700万/套
泰禾昌平拾景园,别墅,在售,"['昌平 ', ' 南邵 ', ' 地铁昌平线南邵站西100米']",品牌房企 中式建筑 地铁沿线 公交直达,1100  万/套(总价),总价1200万/套
