title,rentType,position,direction,area,tags,price
朝阳新城六区,整租,朝阳-东坝-朝阳新城六区 ,南 北 , 75㎡ ,新上 集中供暖,5300 元/月
地质附中,整租,海淀-五道口-地质附中 ,南 , 44㎡ ,新上 集中供暖,5800 元/月
信用北里,整租,东城-崇文门-信用北里 ,东 , 36㎡ ,新上 近地铁 集中供暖,4700 元/月
定慧东里,整租,海淀-定慧寺-定慧东里 ,东北 , 45㎡ ,新上 集中供暖,5200 元/月
永兴里,整租,丰台-丰台其它-永兴里 ,南 北 , 53㎡ ,新上,2600 元/月
IN北京,整租,通州-通州其它-IN北京 ,东 , 58㎡ ,新上,2900 元/月
东亚印象台湖,整租,通州-通州其它-东亚印象台湖 ,南 , 64㎡ ,新上 集中供暖,3400 元/月
正源尚峰尚水,整租,海淀-海淀北部新区-正源尚峰尚水 ,西 , 66㎡ ,新上,4500 元/月
正源尚峰尚水,整租,海淀-海淀北部新区-正源尚峰尚水 ,南 , 80㎡ ,新上,5500 元/月
大红门南里,整租,丰台-赵公口-大红门南里 ,南 北 , 46㎡ ,近地铁 精装 集中供暖,3600 元/月
七星园,整租,石景山-鲁谷-七星园 ,南 北 , 62㎡ ,集中供暖 随时看房,3800 元/月
永内西街北里,整租,西城-陶然亭-永内西街北里 ,东 西 , 55㎡ ,集中供暖 随时看房,4500 元/月
兴隆都市馨园,整租,东城-崇文门-兴隆都市馨园 ,北 , 30㎡ ,新上 近地铁 集中供暖,5200 元/月
艺苑桐城,整租,大兴-黄村火车站-艺苑桐城 ,南 北 , 85㎡ ,新上 近地铁 集中供暖,2200 元/月
高家园一区,整租,朝阳-酒仙桥-高家园一区 ,东南 , 42㎡ ,新上 近地铁 精装 集中供暖,5500 元/月
上地东里,整租,海淀-上地-上地东里 ,南 , 48㎡ ,新上 近地铁 集中供暖,6000 元/月
朝阳公园西里北区,整租,朝阳-农展馆-朝阳公园西里北区 ,东 西 , 51㎡ ,新上 近地铁 集中供暖,6000 元/月
法源寺西里小区,整租,西城-牛街-法源寺西里小区 ,南 北 , 51㎡ ,新上 近地铁 集中供暖,5600 元/月
石园西区,整租,顺义-顺义城-石园西区 ,南 北 , 61㎡ ,新上 集中供暖,2800 元/月
香悦四季,整租,顺义-马坡-香悦四季 ,西 , 33㎡ ,新上 集中供暖,2100 元/月
三义西里,整租,西城-马连道-三义西里 ,南 , 36㎡ ,新上 近地铁 集中供暖,4500 元/月
安慧东里,整租,朝阳-亚运村小营-安慧东里 ,南 , 42㎡ ,新上 近地铁 精装 集中供暖,5700 元/月
石园南区,整租,顺义-顺义城-石园南区 ,南 北 , 67㎡ ,新上 集中供暖,3100 元/月
飘HOME,整租,朝阳-酒仙桥-飘HOME ,北 , 40㎡ ,新上 近地铁 集中供暖,6000 元/月
安贞西里,整租,朝阳-安贞-安贞西里 ,北 , 40㎡ ,新上 近地铁 集中供暖,5900 元/月
自然佳境,整租,通州-潞苑-自然佳境 ,南 北 , 68㎡ ,精装 集中供暖 随时看房,3000 元/月
合生世界花园,整租,通州-马驹桥-合生世界花园 ,北 , 58㎡ ,集中供暖,3000 元/月
小康家园,整租,大兴-亦庄-小康家园 ,南 北 , 57㎡ ,集中供暖 随时看房,3200 元/月
一品嘉园西区,整租,大兴-天宫院南-一品嘉园西区 ,南 北 , 131㎡ ,集中供暖,3200 元/月
徐辛庄,整租,通州-通州其它-徐辛庄 ,南 北 , 84㎡ ,集中供暖 随时看房,2200 元/月
上东上层,整租,朝阳-东坝-上东上层 ,南 , 82㎡ ,随时看房,5400 元/月
沙河百货宿舍楼,整租,昌平-沙河-沙河百货宿舍楼 ,南 北 , 72㎡ ,集中供暖 随时看房,2800 元/月
合生世界花园,整租,通州-马驹桥-合生世界花园 ,南 , 58㎡ ,集中供暖,3000 元/月
南竺园,整租,顺义-首都机场-南竺园 ,南 北 , 59㎡ ,集中供暖 随时看房,3000 元/月
新城嘉园,整租,大兴-大兴其它-新城嘉园 ,南 北 , 85㎡ ,,2100 元/月
一品嘉园,整租,大兴-天宫院南-一品嘉园 ,南 北 , 88㎡ ,精装 集中供暖 随时看房,3200 元/月
港馨家园东区,整租,顺义-顺义城-港馨家园东区 ,南 北 , 99㎡ ,集中供暖 随时看房,2400 元/月
卡尔公寓,整租,亦庄开发区-亦庄-卡尔公寓 ,南 , 80㎡ ,集中供暖 随时看房,3500 元/月
金隅景和园,整租,朝阳-东坝-金隅景和园 ,南 北 , 89㎡ ,集中供暖 随时看房,5600 元/月
安宁里南区,整租,海淀-安宁庄-安宁里南区 ,南 北 , 65㎡ ,精装 集中供暖 随时看房,4700 元/月
米拉小镇,整租,亦庄开发区-马驹桥-米拉小镇 ,东 西北 , 60㎡ ,集中供暖 随时看房,3500 元/月
玉林东里三区,整租,丰台-右安门外-玉林东里三区 ,南 北 , 56㎡ ,集中供暖,4500 元/月
蓝桥驿苑,整租,大兴-大兴其它-蓝桥驿苑 ,南 北 , 55㎡ ,随时看房,2300 元/月
新潮嘉园三期,整租,通州-潞苑-新潮嘉园三期 ,南 北 , 61㎡ ,集中供暖 随时看房,2300 元/月
观音寺南里,整租,大兴-观音寺-观音寺南里 ,东南 , 59㎡ ,集中供暖 随时看房,3000 元/月
朝阳新城一区,整租,朝阳-东坝-朝阳新城一区 ,西北 , 97㎡ ,随时看房,5800 元/月
保利西山林语,整租,海淀-海淀北部新区-保利西山林语 ,南 北 , 90㎡ ,随时看房,5200 元/月
自来水宿舍楼,整租,昌平-南邵-自来水宿舍楼 ,南 , 54㎡ ,集中供暖,2900 元/月
北潞冠家园,整租,房山-良乡-北潞冠家园 ,南 北 , 76㎡ ,随时看房,2600 元/月
西宏苑,整租,丰台-西红门-西宏苑 ,南 北 , 61㎡ ,集中供暖 随时看房,3200 元/月
港馨家园东区,整租,顺义-顺义城-港馨家园东区 ,南 北 , 112㎡ ,集中供暖 随时看房,2600 元/月
华龙小区,整租,通州-潞苑-华龙小区 ,南 北 , 55㎡ ,集中供暖,2680 元/月
金隅景和园,整租,朝阳-东坝-金隅景和园 ,南 , 61㎡ ,集中供暖,5000 元/月
吕营嘉园C区,整租,朝阳-十里河-吕营嘉园C区 ,南 , 58㎡ ,随时看房,4000 元/月
天翠阳光新城,整租,石景山-城子-天翠阳光新城 ,南 , 56㎡ ,集中供暖,2800 元/月
小康家园,整租,大兴-亦庄-小康家园 ,南 , 63㎡ ,集中供暖 随时看房,3000 元/月
大峪南路,整租,门头沟-大峪-大峪南路 ,南 , 56㎡ ,集中供暖 随时看房,1900 元/月
温泉花园B区,整租,昌平-北七家-温泉花园B区 ,南 北 , 87㎡ ,集中供暖 随时看房,3200 元/月
合生世界花园,整租,通州-马驹桥-合生世界花园 ,北 , 58㎡ ,集中供暖,3000 元/月
新翠景园,整租,通州-九棵树(家乐福)-新翠景园 ,南 , 64㎡ ,,3000 元/月
金隅景和园,整租,朝阳-东坝-金隅景和园 ,南 北 , 89㎡ ,集中供暖 随时看房,5600 元/月
港馨家园东区,整租,顺义-顺义城-港馨家园东区 ,南 北 , 99㎡ ,集中供暖 随时看房,2400 元/月
自然佳境,整租,通州-潞苑-自然佳境 ,南 北 , 68㎡ ,精装 集中供暖 随时看房,3000 元/月
一品嘉园,整租,大兴-天宫院南-一品嘉园 ,南 北 , 88㎡ ,精装 集中供暖 随时看房,3200 元/月
北潞冠家园,整租,房山-良乡-北潞冠家园 ,南 北 , 76㎡ ,随时看房,2600 元/月
西宏苑,整租,丰台-西红门-西宏苑 ,南 北 , 61㎡ ,集中供暖 随时看房,3200 元/月
吕营嘉园C区,整租,朝阳-十里河-吕营嘉园C区 ,南 , 58㎡ ,随时看房,4000 元/月
天翠阳光新城,整租,石景山-城子-天翠阳光新城 ,南 , 56㎡ ,集中供暖,2800 元/月
小康家园,整租,大兴-亦庄-小康家园 ,南 , 63㎡ ,集中供暖 随时看房,3000 元/月
一品嘉园,整租,大兴-天宫院南-一品嘉园 ,南 北 , 89㎡ ,集中供暖 随时看房,3100 元/月
天通苑东二区,整租,昌平-天通苑-天通苑东二区 ,南 北 , 147㎡ ,精装 集中供暖,3600 元/月
华美橡树岭,整租,朝阳-双桥-华美橡树岭 ,南 , 78㎡ ,集中供暖 随时看房,4800 元/月
国瑞熙墅,整租,昌平-北七家-国瑞熙墅 ,南 北 , 89㎡ ,,3300 元/月
月亮城堡,整租,通州-武夷花园-月亮城堡 ,北 , 58㎡ ,集中供暖 随时看房,3600 元/月
御园D区,整租,大兴-天宫院南-御园D区 ,南 , 55㎡ ,精装 集中供暖,2500 元/月
沙顺路110号院,整租,昌平-小汤山-沙顺路110号院 ,东 西 , 90㎡ ,集中供暖 随时看房,2400 元/月
龙府花园,整租,顺义-顺义城-龙府花园 ,南 北 , 58㎡ ,集中供暖 随时看房,2500 元/月
金沟河17号院,整租,海淀-五棵松-金沟河17号院 ,南 北 , 61㎡ ,集中供暖 随时看房,5200 元/月
新城嘉园,整租,大兴-大兴其它-新城嘉园 ,南 北 , 80㎡ ,,2000 元/月
惠通新苑,整租,门头沟-门头沟其它-惠通新苑 ,南 , 77㎡ ,随时看房,2300 元/月
泰河园三里,整租,亦庄开发区-亦庄开发区其它-泰河园三里 ,南 北 , 60㎡ ,集中供暖,3500 元/月
隆盛园,整租,大兴-天宫院南-隆盛园 ,南 北 , 84㎡ ,集中供暖 随时看房,2000 元/月
滨河中路,整租,通州-通州其它-滨河中路 ,南 北 , 59㎡ ,集中供暖 随时看房,2500 元/月
上林溪,整租,海淀-安宁庄-上林溪 ,南 , 58㎡ ,精装 集中供暖,3800 元/月
金隅悦和园,整租,朝阳-东坝-金隅悦和园 ,南 , 79㎡ ,集中供暖 随时看房,5500 元/月
隆盛园,整租,大兴-天宫院南-隆盛园 ,南 北 , 83㎡ ,集中供暖,2000 元/月
望都新地,整租,昌平-北七家-望都新地 ,南 北 , 64㎡ ,随时看房,3300 元/月
加州水郡四期,整租,房山-长阳-加州水郡四期 ,南 , 58㎡ ,随时看房,2600 元/月
融科香雪兰溪,整租,通州-马驹桥-融科香雪兰溪 ,南 北 , 130㎡ ,集中供暖 双卫生间 随时看房,3000 元/月
凯盛家园,整租,海淀-海淀北部新区-凯盛家园 ,南 北 , 80㎡ ,集中供暖,4800 元/月
红松园小区,整租,朝阳-东坝-红松园小区 ,南 北 , 55㎡ ,集中供暖,4600 元/月
朝阳新城五区,整租,朝阳-东坝-朝阳新城五区 ,南 北 , 88㎡ ,随时看房,5700 元/月
惠泽家园,整租,门头沟-门头沟其它-惠泽家园 ,东 南 北 , 87㎡ ,集中供暖 随时看房,2500 元/月
南竺园,整租,顺义-首都机场-南竺园 ,南 北 , 64㎡ ,集中供暖,3000 元/月
石园西区,整租,顺义-顺义城-石园西区 ,南 北 , 57㎡ ,月租 精装 集中供暖,3000 元/月
金隅悦和园,整租,朝阳-东坝-金隅悦和园 ,东 , 61㎡ ,集中供暖 随时看房,4200 元/月
环山村,整租,海淀-海淀北部新区-环山村 ,南 , 55㎡ ,集中供暖 随时看房,3500 元/月
冠雅苑,整租,昌平-北七家-冠雅苑 ,南 北 , 73㎡ ,集中供暖 随时看房,3000 元/月
港馨家园东区,整租,顺义-顺义城-港馨家园东区 ,南 北 , 85㎡ ,集中供暖,3000 元/月
朝阳新城五区,整租,朝阳-东坝-朝阳新城五区 ,南 北 , 88㎡ ,随时看房,5800 元/月
观音景园二期,整租,朝阳-百子湾-观音景园二期 ,南 北 , 96㎡ ,集中供暖 随时看房,5600 元/月
阳光北里,整租,海淀-安宁庄-阳光北里 ,南 , 61㎡ ,集中供暖 随时看房,5200 元/月
将府锦苑,整租,朝阳-朝阳其它-将府锦苑 ,南 , 75㎡ ,精装,6000 元/月
滨河小区,整租,顺义-顺义城-滨河小区 ,南 北 , 60㎡ ,集中供暖 随时看房,2900 元/月
沙河镇南一村,整租,昌平-沙河-沙河镇南一村 ,南 北 , 74㎡ ,,3000 元/月
门头馨村,整租,海淀-西山-门头馨村 ,南 , 60㎡ ,精装 随时看房,4450 元/月
金隅通和园,整租,通州-临河里-金隅通和园 ,南 , 83㎡ ,集中供暖 随时看房,3300 元/月
