title,houseType,floor,position,area,direction,buildTime,viewNum,time,tags,unitPrice,totalPrice
翠拥华庭 封闭式管理 小区环境好,2室2厅 , 高楼层(共21层) ,翠拥华庭锋尚 - 车陂, 64.42平米 , 东 , 2008年建 ,59人关注,3个月以前发布,近地铁VR房源房本满五年,单价43465元/平米,280万
广州北地铁口 祈福天龙苑 三房南向格局通透 精装修,3室2厅 , 中楼层(共28层) ,祈福万景峰祈福天龙苑 - 铁路西, 92平米 , 南 北 , 2014年建 ,78人关注,31天以前发布,VR房源,单价17935元/平米,165万
东风西路 2室1厅 124万,2室1厅 , 中楼层(共6层) ,东风西路 - 东风西, 47平米 , 南 ,,38人关注,22天以前发布,近地铁VR房源房本满五年随时看房,单价26383元/平米,124万
嘉裕公馆 高层三房 户型方正 业主诚心放卖,3室2厅 , 高楼层(共33层) ,嘉裕公馆 - 珠江新城中, 119.76平米 , 北 , 2015年建 ,45人关注,1个月以前发布,近地铁VR房源房本满两年,单价98531元/平米,1180万
耀华国际 3室2厅 335万,3室2厅 , 高楼层(共20层) ,耀华国际 - 三元里, 83.18平米 , 北 , 2005年建 ,3人关注,27天以前发布,近地铁VR房源房本满两年随时看房,单价40275元/平米,335万
凤凰城凤馨苑 精致三房两卫 看小区花园 带阁楼,3室2厅 , 高楼层(共5层) ,碧桂园凤凰城凤馨苑 - 凤凰城, 94平米 , 北 , 2002年建 ,126人关注,8个月以前发布,VR房源房本满五年随时看房,单价18618元/平米,175万
方正三间房 精装修 景观好 南向望花园 望东江,3室2厅 , 高楼层(共30层) ,尚东阳光雅苑 - 沙村, 106.48平米 , 东南 南 , 2011年建 ,81人关注,6个月以前发布,近地铁VR房源房本满五年随时看房,单价19723元/平米,210万
博雅御轩 南向四房 光线好 通风透气 户型方正实用,4室2厅 , 中楼层(共31层) ,博雅御轩 - 珠江新城中, 175.94平米 , 南 , 2010年建 ,57人关注,6个月以前发布,近地铁VR房源房本满五年随时看房,单价79573元/平米,1400万
新世界花园万象苑 精装电梯三房,3室2厅 , 低楼层(共18层) ,新塘新世界花园万象苑 - 沙村, 139.44平米 , 南 北 , 2012年建 ,41人关注,一年前发布,近地铁VR房源房本满五年随时看房,单价20798元/平米,290万
西关实验旁边靓私房，单边一栋四层！,4室2厅 , 低楼层(共3层) ,洪寿直街 - 龙津, 98.51平米 , 东南 ,,48人关注,4个月以前发布,近地铁VR房源房本满五年随时看房,单价26901元/平米,265万
