title,houseType,state,position,tags,unitPrice,totalPrice
金茂湾,商业,在售,"['南沙 ', ' 南沙区府 ', ' 凤凰大道外国语学院南侧300米']",贴心物业 多轨交汇 近主干道 现房,25000  元/平(均价),
越秀东坡,住宅,在售,"['南沙 ', ' 进港大道 ', ' 进港大道原南沙街道办事处旁']",品牌房企 复式 公交直达 近主干道,25500  元/平(均价),总价263万/套
景业东湖洲豪园,住宅,在售,"['南沙 ', ' 南沙湾 ', ' 环市大道南横地铁站A口西侧350米处']",品牌房企 自持商业 多轨交汇 近主干道,27500  元/平(均价),总价247万/套
振业天颂花园,住宅,在售,"['荔湾 ', ' 广钢新城 ', ' 芳村大道南以西鹤洞路旁']",儿童乐园 近主干道 现房 绿化率高,45000  元/平(均价),总价486万/套
珠光山水诚品,住宅,在售,"['从化 ', ' 江浦街 ', ' 江埔街江村地段']",贴心物业 健身跑道 现房 绿化率高,11500  元/平(均价),总价150万/套
天健汇,商业,在售,"['天河 ', ' 车陂 ', ' 车陂北路（天坤三路与健明四路交汇处）']",自持商业 现房,45000  元/平(均价),
保利花海湾,住宅,在售,"['荔湾 ', ' 茶滘 ', ' 百花路111号']",品牌房企 贴心物业 绿化率高 购物方便,41000  元/平(均价),总价352万/套
保利半岛,住宅,在售,"['南沙 ', ' 黄阁 ', ' 滨水大道左侧（南沙儿童公园对面）']",品牌房企 复式 多轨交汇 近主干道,34000  元/平(均价),总价350万/套
时代幸汇,住宅,在售,"['从化 ', ' 江浦街 ', ' 环市东路188号']",品牌房企 贴心物业 地铁沿线 多轨交汇,16500  元/平(均价),总价172万/套
绿地柏玥晶舍,住宅,在售,"['白云 ', ' 太和 ', ' 草塘路5号']",品牌房企 近主干道 大型社区,35000  元/平(均价),总价330万/套
南沙水恋,住宅,在售,"['南沙 ', ' 黄阁 ', ' 地铁黄阁汽车城站A口']",贴心物业 健身跑道 多轨交汇 近主干道,22000  元/平(均价),总价330万/套
南沙珠江湾,商业,在售,"['南沙 ', ' 南沙湾 ', ' 漾滨路和海滨路交汇处']",贴心物业 地铁沿线 公交直达 现房,28500  元/平(均价),
碧桂园云顶,住宅,在售,"['增城 ', ' 凤凰城 ', ' 广园快速路新塘出口凤凰城西侧约1公里处']",品牌房企 贴心物业 现房,28000  元/平(均价),总价315万/套
尚东君御雅苑,住宅,在售,"['天河 ', ' 珠江新城中 ', ' 珠江新城兴盛路6号']",现房 成熟商圈 江景,130000  元/平(均价),总价2250万/套
珠江帝景·紫龙府,住宅,在售,"['海珠 ', ' 滨江东 ', ' 广州塔东300米（艺洲路602号）']",现房 大型社区 江景,88000  元/平(均价),总价1654万/套
鹅潭湾,住宅,在售,"['荔湾 ', ' 滘口 ', ' 芳村大道西']",复式 休闲会所 近主干道 现房,50000  元/平(均价),总价874万/套
峻林,住宅,在售,"['天河 ', ' 林和 ', ' 林和东路258号']",入户花园 现房 车位充足,85000  元/平(均价),总价2610万/套
西关海,住宅,在售,"['荔湾 ', ' 南岸路 ', ' 南岸路23号（青年公园旁）']",健身跑道 休闲会所 近主干道 现房,68000  元/平(均价),总价1050万/套
万科山景城樾山,住宅,在售,"['黄埔 ', ' 科学城 ', ' 永顺大道以南瞰山大街2号。']",品牌房企 贴心物业 低密居所 大型社区,650  万/套(总价),总价650万/套
云星钱隆天誉,住宅,在售,"['从化 ', ' 太平镇 ', ' 高技术产业园丰盈路7号']",近主干道 现房 绿化率高 成熟商圈,16000  元/平(均价),总价152万/套
智杰雅筑,住宅,在售,"['从化 ', ' 河滨北路 ', ' 向阳路32号']",入户花园 现房 绿化率高,17000  元/平(均价),总价145万/套
尚轩103,住宅,在售,"['番禺 ', ' 大学城 ', ' 明志街8号']",现房 车位充足,62000  元/平(均价),总价1612万/套
新世界凯粤湾,住宅,在售,"['荔湾 ', ' 滘口 ', ' 芳村大道西236号']",小户型 近主干道 现房 大型社区,50000  元/平(均价),总价395万/套
爱群荟景湾,住宅,在售,"['越秀 ', ' 解放南 ', ' 沿江西路爱群荟景湾']",地铁沿线 近主干道 现房 车位充足,80000  元/平(均价),总价2380万/套
荔山雅筑,住宅,在售,"['从化 ', ' 神岗镇 ', ' 广从公路(105国道) 赤草地铁站旁400米']",品牌房企 开发区 近主干道,14000  元/平(均价),总价156万/套
南华时代城,住宅,在售,"['花都 ', ' 铁路西 ', ' 新华街工业大道18号']",地铁沿线 公交直达 现房 低密居所,22500  元/平(均价),总价247万/套
东方名都,住宅,在售,"['增城 ', ' 白江 ', ' 广园东新新站出口西行东江大道即达（即碧桂园凤凰城对面）']",小户型 复式 近主干道,27000  元/平(均价),总价160万/套
悦江上品苑,住宅,在售,"['荔湾 ', ' 大坦沙 ', ' 桥中中路143号']",小户型 健身跑道 多轨交汇 现房,47000  元/平(均价),总价376万/套
中海花湾壹号,住宅,在售,"['荔湾 ', ' 广钢新城 ', ' 地铁鹤洞站C出口', '西朗站A出口']",小户型 地铁沿线 多轨交汇 现房,50000  元/平(均价),总价375万/套
珠光御景山水城,住宅,在售,"['从化 ', ' 江浦街 ', ' 105国道九里步果场段珠光御景山水城']",贴心物业 入户花园 绿化率高 大型社区,14000  元/平(均价),总价161万/套
融穗华府,住宅,在售,"['荔湾 ', ' 广钢新城 ', ' 银沙路与开拓二横路交界处']",小户型 贴心物业 近主干道,52000  元/平(均价),总价388万/套
公园里（春晓花园）,住宅,在售,"['增城 ', ' 荔城增江 ', ' 广汕公路与增江大道南交汇处（天恩小学对面）']",入户花园 现房 车位充足 山景,17500  元/平(均价),总价225万/套
恒展江山时代花园,住宅,在售,"['增城 ', ' 朱村 ', ' 朱村大道西88号']",免费专车 小户型 入户花园 近主干道,21000  元/平(均价),总价160万/套
绿湖国际城,住宅,在售,"['增城 ', ' 石滩镇 ', ' 石滩镇新城大道石滩中学北侧400米']",低单价 品牌房企 水系园林 临近高速,13600  元/平(均价),总价120万/套
珑翠,住宅,在售,"['番禺 ', ' 长隆 ', ' 105国道和市广路交界处（松下万宝电熨斗公司对面）']",贴心物业 近主干道 现房 低密居所,40000  元/平(均价),总价800万/套
星尚花园,住宅,在售,"['番禺 ', ' 市桥东 ', ' 龙街丰尚路68号（石碁三中对面）']",贴心物业 复式 临近高速 现房,25500  元/平(均价),总价310万/套
顺欣花园,住宅,在售,"['增城 ', ' 新塘北 ', ' 荔新十二路98号']",儿童乐园 地铁沿线 公交直达 现房,23000  元/平(均价),总价184万/套
中森茗苑,住宅,在售,"['增城 ', ' 新塘北 ', ' 新塘石新路168号']",入户花园 儿童乐园 现房 人车分流,21000  元/平(均价),总价180万/套
广晟圣淘沙,住宅,在售,"['南沙 ', ' 进港大道 ', ' 进港大道金沙路今洲广场北侧400米']",公交直达 近主干道 现房 小型社区,23500  元/平(均价),总价200万/套
宝兴翠园,住宅,在售,"['天河 ', ' 东圃 ', ' 中山大道中1118、1120、1122号']",入户花园 地铁沿线 公交直达 现房,50000  元/平(均价),总价461万/套
新鸿基御华园,住宅,在售,"['花都 ', ' 狮岭镇 ', ' 狮岭大道东1号']",小户型 水系园林 公交直达 现房,17000  元/平(均价),总价79万/套
合景花漫里,住宅,在售,"['增城 ', ' 永和 ', ' 新塘镇新新大道中段']",品牌房企 小户型 公交直达 现房,16000  元/平(均价),总价150万/套
富基广场,住宅,在售,"['海珠 ', ' 滨江中 ', ' 江南大道北市二宫地铁A出口']",自持商业 现房 车位充足,49800  元/平(均价),总价480万/套
雍晟岭南雅苑,住宅,未开盘,"['从化 ', ' 江浦街 ', ' 江埔街大江路13号']",入户花园 地铁沿线 开发区 现房,20000  元/平(均价),总价177万/套
中央郡,住宅,在售,"['南沙 ', ' 进港大道 ', ' 进港大道与珠电路交汇处']",多轨交汇 近主干道 现房 小型社区,22000  元/平(均价),总价210万/套
西福蓝湾,住宅,在售,"['增城 ', ' 朱村 ', ' 广汕公路136号']",小户型 入户花园 地铁沿线 近主干道,18000  元/平(均价),总价160万/套
卓粤卓雅名苑,住宅,在售,"['花都 ', ' 旧区 ', ' 建设北路223号']",现房 低密居所 成熟商圈 购物方便,16500  元/平(均价),总价200万/套
天誉半岛花园,住宅,在售,"['海珠 ', ' 洪德 ', ' 同福西路16号（滨江西路三江交汇处，洲头咀公园旁）']",地铁沿线 公交直达 现房 车位充足,100000  元/平(均价),总价4400万/套
鸿益华府,住宅,在售,"['海珠 ', ' 金碧 ', ' 新业路51-61号']",地铁沿线 公交直达 现房 小型社区,60000  元/平(均价),总价600万/套
人盛巴厘天地,住宅,在售,"['从化 ', ' 神岗镇 ', ' 广从北路263号']",现房 绿化率高 购物方便 美食云集,14000  元/平(均价),总价156万/套
宏润天睿,住宅,在售,"['从化 ', ' 鳌头镇 ', ' 城鳌大道东854号']",小户型 儿童乐园 近主干道 现房,11000  元/平(均价),总价95万/套
万科幸福誉,住宅,在售,"['黄埔 ', ' 知识城 ', ' 中新知识城•地铁何棠下站（麦当劳旁）']",品牌房企 小户型 现房,24000  元/平(均价),总价190万/套
南沙万地雅涛阁,住宅,未开盘,"['南沙 ', ' 万顷沙 ', ' 万顷沙镇新垦十三涌公交总站往东500米']",低单价 开发区 现房 绿化率高,13000  元/平(均价),
科城山庄峻森园,住宅,在售,"['黄埔 ', ' 科学城 ', ' 峻祥路与峻福路交汇处']",地铁沿线 公交直达 现房 低密居所,41000  元/平(均价),总价530万/套
珠江壹城,住宅,在售,"['从化 ', ' 神岗镇 ', ' 从化105国道旁（东方夏湾拿对面约2.5公里）']",贴心物业 地铁沿线 近主干道 现房,17000  元/平(均价),总价150万/套
珠江东境花园,住宅,在售,"['天河 ', ' 车陂 ', ' 科韵北路渔民新村旁']",复式 入户花园 现房 低密居所,97000  元/平(均价),总价2309万/套
宏诚海峰花园,住宅,未开盘,"['从化 ', ' 江浦街 ', ' 江埔街环市东路453号']",小户型 公交直达 现房 人车分流,价格待定,总价112万/套
侨鑫汇悦台,住宅,在售,"['天河 ', ' 珠江新城东 ', ' 临江大道417-431号']",地铁沿线 公交直达 现房 车位充足,190000  元/平(均价),总价6614万/套
富雅都市华庭,住宅,在售,"['增城 ', ' 新塘北 ', ' 汇太东路233号']",低总价 地铁沿线 现房 低密居所,18000  元/平(均价),总价180万/套
珠光山水御苑,住宅,在售,"['从化 ', ' 江浦街 ', ' 温泉大道13号']",贴心物业 现房 绿化率高 购物方便,12500  元/平(均价),总价215万/套
大学小筑,住宅,在售,"['番禺 ', ' 大学城 ', ' 广工一路159号']",地铁沿线 公交直达 现房 车位充足,75000  元/平(均价),总价1350万/套
尚东阳光雅苑,住宅,在售,"['增城 ', ' 沙村 ', ' 新塘镇西宁西路618号']",入户花园 现房 大型社区 购物方便,23000  元/平(均价),总价200万/套
荔富湖畔,住宅,在售,"['增城 ', ' 朱村 ', ' 朱村街朱村大道东88号']",小户型 水系园林 地铁沿线 即将交房,19000  元/平(均价),总价177万/套
怡康华府,住宅,在售,"['增城 ', ' 荔城西区 ', ' 百花路7号']",入户花园 儿童乐园 现房 低密居所,25000  元/平(均价),总价270万/套
乐天峰公馆,住宅,在售,"['增城 ', ' 荔城中区 ', ' 荔城街幸福路25号']",现房 低密居所 美食云集,23000  元/平(均价),总价198万/套
名城御景绿洲,住宅,在售,"['从化 ', ' 江浦街 ', ' 河东南路388号']",地铁沿线 公交直达 现房,16000  元/平(均价),总价135万/套
兰亭盛荟,住宅,在售,"['天河 ', ' 东圃 ', ' 黄埔大道桃园西路明镜路1号']",小户型 贴心物业 公交直达 现房,51000  元/平(均价),总价391万/套
保利西悦湾,住宅,在售,"['荔湾 ', ' 坑口 ', ' 东漖南路（坑口地铁D出口990米）']",品牌房企 小户型 现房 绿化率高,44000  元/平(均价),总价363万/套
豪利花园,住宅,在售,"['花都 ', ' 镜湖大道 ', ' 镜湖大道北18号']",小户型 近主干道 现房 车位充足,21000  元/平(均价),总价110万/套
嘉汇城,住宅,在售,"['白云 ', ' 人和 ', ' 凯德二街3号']",低单价 近主干道 现房 小型社区,22000  元/平(均价),总价203万/套
臻尚苑,住宅,在售,"['番禺 ', ' 广州南站 ', ' 石洲中路100号。']",入户花园 中式建筑 近主干道 现房,42000  元/平(均价),总价419万/套
