title,houseType,floor,position,area,direction,buildTime,viewNum,time,tags,unitPrice,totalPrice
户型方正 厅出阳台 采光好 刚需三房,3室1厅 , 中楼层(共8层) ,加洲花园 - 布吉关, 74.52平米 , 西南 , 1999年建 ,35人关注,1个月以前发布,近地铁VR房源房本满五年,单价42808元/平米,319万
尚书苑 精装小户型 地铁口 06年社区 满两年 诚售,1室0厅 , 中楼层(共16层) ,尚书苑 - 梅林, 34.11平米 , 西南 , 2005年建 ,48人关注,2个月以前发布,近地铁VR房源房本满两年,单价73293元/平米,250万
户型通透 采光好 中间位置 业主诚心出售 位置安静,2室2厅 , 高楼层(共7层) ,桦润馨居 - 龙华中心, 79.68平米 , 东南 , 1994年建 ,42人关注,2个月以前发布,近地铁VR房源房本满两年随时看房,单价41165元/平米,328万
横岗地铁站 高层两房 低总价 过渡住家适合,2室1厅 , 中楼层(共28层) ,志健时代广场 - 横岗, 65.31平米 , 西北 , 2007年建 ,29人关注,22天以前发布,近地铁VR房源房本满两年,单价35523元/平米,232万
花园社区正规两房，中高楼层视野好采光足，业主诚心卖,2室1厅 , 中楼层(共26层) ,信和自由广场 - 后海, 67.4平米 , 西南 , 2006年建 ,76人关注,1个月以前发布,近地铁VR房源房本满两年,单价83087元/平米,560万
上品雅园 精装三房 满五年 税费低 看房方便,3室1厅 , 低楼层(共33层) ,佳兆业上品雅园 - 坂田, 88.28平米 , 西南 , 2010年建 ,30人关注,10个月以前发布,近地铁VR房源房本满五年,单价65701元/平米,580万
云顶嘉园 高层 通风采光好 业主诚心出售 看房方便,1室1厅 , 中楼层(共32层) ,黄金大厦 - 新安, 47.04平米 , 西南 , 2011年建 ,58人关注,1个月以前发布,VR房源房本满两年随时看房,单价67603元/平米,318万
金地上塘道一期 3室1厅 530万,3室1厅 , 高楼层(共24层) ,金地上塘道一期 - 红山, 78.37平米 , 东南 , 2010年建 ,21人关注,31天以前发布,VR房源房本满两年,单价67628元/平米,530万
港隆城商圈，南向复式2房，业主诚心出售，看房方便,2室2厅 , 高楼层(共32层) ,鸿隆广场 - 西乡, 47.6平米 , 西南 , 2006年建 ,27人关注,24天以前发布,VR房源房本满五年随时看房,单价69538元/平米,331万
16号线正地铁口 满五唯一大社区 费用很低,2室2厅 , 低楼层(共30层) ,中骏四季阳光一期 - 坪地, 67.62平米 , 东南 , 2016年建 ,32人关注,1个月以前发布,VR房源房本满五年随时看房,单价34754元/平米,235万
上百间 3室2厅 280万,3室2厅 , 中楼层(共11层) ,上百间 - 大运新城, 88.19平米 , 东南 , 2011年建 ,247人关注,一年前发布,近地铁VR房源房本满五年,单价31750元/平米,280万
满五唯一，中间楼层，业主诚心出售，方便看房。,2室1厅 , 中楼层(共7层) ,外贸大院 - 黄贝岭, 72.51平米 , 南 , 1989年建 ,1人关注,24天以前发布,近地铁VR房源房本满五年,单价59303元/平米,430万
龙岗中 心城 深业紫麟山花园 精装大四房 诚心出售,4室2厅 , 23层 ,深业紫麟山花园 - 龙岗中心城, 135.04平米 , 西南 , 2011年建 ,167人关注,一年前发布,VR房源房本满五年随时看房,单价34805元/平米,470万
东向 采光好 大社区 业主靠谱卖,2室1厅 , 中楼层(共13层) ,都市花园 - 车公庙, 63.45平米 , 东 , 1999年建 ,86人关注,一年前发布,近地铁VR房源房本满五年,单价69346元/平米,440万
业主诚心出售南外大冲，正规两房，满五年唯一,2室1厅 , 低楼层(共31层) ,阳光海景豪苑 - 科技园, 57.67平米 , 东 , 2002年建 ,42人关注,2个月以前发布,VR房源房本满五年,单价97105元/平米,560万
