title,houseType,state,position,tags,unitPrice,totalPrice
银领公馆,住宅,在售,"['龙岗区 ', ' 布吉大芬 ', ' 龙岗布澜路与龙岗大道交汇处']",免费专车 小户型 地铁沿线 多轨交汇 现房,49000  元/平(均价),总价367万/套
亚钢1号,写字楼,下期待开,"['龙岗区 ', ' 平湖 ', ' 龙岗平湖街道富安大道与水门路交汇处东北']",购物方便 美食云集,价格待定,
保利24季,住宅,在售,"['大鹏新区 ', ' 大鹏半岛 ', ' 大鹏办事处鹏飞路与爱康路交汇处南侧']",品牌房企 小型社区 人车分流,27000  元/平(均价),总价230万/套
东关乐尚林居,住宅,在售,"['南山区 ', ' 南头 ', ' 南山同乐中山园路西侧']",免费专车 近主干道 绿化率高 小型社区 购物方便,78000  元/平(均价),总价1350万/套
建信天宸,住宅,在售,"['龙岗区 ', ' 横岗 ', ' 龙岗横岗街道康乐路与龙岗大道交汇处']",近主干道 绿化率高 购物方便 美食云集,44000  元/平(均价),总价415万/套
易尚中心,写字楼,在售,"['宝安区 ', ' 宝安中心 ', ' 甲岸南路与金科路交汇处']",现房 购物方便 美食云集,80000  元/平(均价),
富宏凤凰天誉,住宅,在售,"['宝安区 ', ' 西乡 ', ' 西乡前进二路与宝田一路交汇处']",免费专车 近主干道,65000  元/平(均价),总价800万/套
奥园峯荟,底商,在售,"['光明区 ', ' 公明 ', ' 公明街道南环大道与振兴路交汇处']",公交直达 现房 配套齐全 购物方便,60000  元/平(均价),
前海金融中心,写字楼,在售,"['南山区 ', ' 前海 ', ' 深圳前海临海大道与桂湾三路交汇处']",地铁沿线 现房 车位充足 美食云集,95000  元/平(均价),
红山6979,底商,在售,"['龙华区 ', ' 红山 ', ' 腾龙路与中梅路交汇处东侧']",自持商业 地铁沿线 公交直达 现房,140000  元/平(均价),
德弘基·碧桂园·前海荟,住宅,在售,"['宝安区 ', ' 西乡 ', ' 宝安大道与新安六路交汇西南处']",品牌房企 近主干道 现房 车位充足,75000  元/平(均价),总价880万/套
德弘基·碧桂园·前海荟,商业类,下期待开,"['宝安区 ', ' 西乡 ', ' 宝安大道德弘基·碧桂园·前海荟']",现房 车位充足 银行,价格待定,
中粮天悦广场,写字楼,在售,"['宝安区 ', ' 新安 ', ' 深圳宝安新安二路与公园路交汇处']",品牌房企 健身跑道 地铁沿线 公交直达,48000  元/平(均价),
中粮天悦广场,底商,在售,"['宝安区 ', ' 新安 ', ' 深圳宝安新安二路与公园路交汇处']",品牌房企 小户型 地铁沿线 公交直达,110000  元/平(均价),总价467万/套
远洋新天地二期,底商,在售,"['龙岗区 ', ' 龙岗中心城 ', ' 龙岗中心城盛龙路与碧新路交汇处']",低单价 品牌房企 现房 人车分流,60000  元/平(均价),
