title,rentType,position,direction,area,tags,price
新天CBC,合租,福田区-石厦-新天CBC ,东南 , 30㎡ ,近地铁 精装 随时看房,4000 元/月
邦舍公寓,独栋,仅剩2间 ,2间在租 , 30㎡ ,独栋公寓 月租 近地铁 押一付一,3500-4560 元/月
万科蛇口公馆,整租,南山区-蛇口-万科蛇口公馆 ,南 , 30㎡ ,精装 随时看房,4500 元/月
魔方公寓,独栋,30㎡ , 1室1厅1卫,18间在租 ,独栋公寓 月租 拎包入住 近地铁 开放厨房 押一付一,2300-2800 元/月
万科蛇口公馆,整租,南山区-蛇口-万科蛇口公馆 ,南 , 30㎡ ,精装 随时看房,5000 元/月
恒星公寓,独栋,67-73㎡ , 2室1厅1卫,31间在租 ,独栋公寓 有阳台,5500-6580 元/月
万科蛇口公馆,整租,南山区-蛇口-万科蛇口公馆 ,南 , 30㎡ ,精装 随时看房,4500 元/月
名居广场,整租,龙岗区-龙岗中心城-名居广场 ,南 , 32㎡ ,精装 随时看房,2500 元/月
新天CBC,合租,福田区-石厦-新天CBC ,东南 , 30㎡ ,近地铁 精装 随时看房,4200 元/月
新天CBC,合租,福田区-石厦-新天CBC ,东 , 30㎡ ,近地铁 精装 随时看房,4000 元/月
新天CBC,合租,福田区-石厦-新天CBC ,东南 , 30㎡ ,近地铁 精装 随时看房,3500 元/月
愉康花园,合租,南山区-南山中心-愉康花园 ,北 , 7㎡ ,公寓 月租 近地铁 精装 随时看房,2130 元/月
新天CBC,合租,福田区-石厦-新天CBC ,东 , 30㎡ ,近地铁 精装 随时看房,4200 元/月
花样年花乡,整租,宝安区-宝安中心-花样年花乡 ,东南 , 28㎡ ,公寓 近地铁 精装 随时看房,3700 元/月
御锦公馆,整租,福田区-梅林-御锦公馆 ,南 , 42㎡ ,近地铁 精装 随时看房,6800 元/月
万科蛇口公馆,整租,南山区-蛇口-万科蛇口公馆 ,南 , 53㎡ ,精装 随时看房,6500 元/月
万科蛇口公馆,整租,南山区-蛇口-万科蛇口公馆 ,南 , 53㎡ ,精装 随时看房,6400 元/月
万科蛇口公馆,整租,南山区-蛇口-万科蛇口公馆 ,南 , 53㎡ ,精装 随时看房,6600 元/月
万科蛇口公馆,整租,南山区-蛇口-万科蛇口公馆 ,南 , 53㎡ ,精装 随时看房,6500 元/月
万科蛇口公馆,整租,南山区-蛇口-万科蛇口公馆 ,南 , 53㎡ ,精装 随时看房,6700 元/月
万科蛇口公馆,整租,南山区-蛇口-万科蛇口公馆 ,南 , 53㎡ ,精装 随时看房,6400 元/月
大发埔东村,整租,龙岗区-坂田-大发埔东村 ,南 , 25㎡ ,新上 公寓 月租 精装 随时看房,1300 元/月
万科蛇口公馆,整租,南山区-蛇口-万科蛇口公馆 ,南 , 54㎡ ,精装 随时看房,6800 元/月
集悦城红花岭,整租,南山区-西丽-集悦城红花岭 ,南 , 15㎡ ,公寓 月租 精装 押一付一 随时看房,1980 元/月
万科蛇口公馆,整租,南山区-蛇口-万科蛇口公馆 ,南 , 53㎡ ,精装 随时看房,6800 元/月
