title,rentType,position,direction,area,tags,price
奥林匹克花园玉兰苑3居室,合租,小区距瑞景新苑站步行约417米,南卧,12.4㎡ ,深呼吸1.0 可短租 米苏4.0,1390元/月
紫瑞园3居室,合租,小区距刘园站步行约596米,南卧,16.4㎡ ,全部空置 深呼吸1.0 木棉4.0,1330元/月
詹滨西里2居室,合租,小区距张贵庄站步行约693米,南卧,13㎡ ,深呼吸1.0 可短租 布丁4.0,1360元/月
观景里3居室,合租,小区距迎风道站步行约357米,南卧,13.9㎡ ,深呼吸1.0 离地铁近 布丁4.0,1430元/月
诚勤园4居室,合租,小区距双林站步行约193米,南卧,12.2㎡ ,深呼吸1.0 离地铁近 米苏4.0,1330元/月
互助南里3居室,合租,小区距中山门站步行约540米,南卧,14.6㎡ ,深呼吸1.0 离地铁近 拿铁6.0,1460元/月
春和仁居3居室,合租,小区距建昌道站步行约447米,南卧,14.3㎡ ,全部空置 深呼吸1.0 拿铁4.0,1260元/月
北宁湾,合租,小区距铁东路站步行约301米,宁宇家园3居室,15㎡ ,全部空置 深呼吸1.0 木棉4.0,1590元/月
北宁湾,合租,小区距铁东路站步行约301米,宁宇家园3居室,12㎡ ,全部空置 深呼吸1.0 木棉4.0,1590元/月
敬贤里3居室,合租,小区距志成路站步行约302米,南卧,11.8㎡ ,离地铁近 非首次出租 布丁4.0,1390元/月
太阳城蓝山园4居室,合租,小区距屿东城站步行约703米,南卧,11.8㎡ ,深呼吸1.0 离地铁近 布丁4.0,1290元/月
路劲太阳城皓阳园4居室,合租,小区距屿东城站步行约905米,南卧,14.2㎡ ,深呼吸1.0 独立卫生间 拿铁6.0,1630元/月
互助南里3居室,合租,小区距中山门站步行约540米,南卧,11㎡ ,全部空置 深呼吸1.0 拿铁4.0,1390元/月
艺术家园4居室,合租,小区距瑞景新苑站步行约343米,南卧,13㎡ ,深呼吸1.0 离地铁近 布丁4.0,1360元/月
金水畔家园3居室,合租,小区距志成路站步行约40米,南卧,11.3㎡ ,深呼吸1.0 离地铁近 布丁4.0,1390元/月
瑞益园3居室,合租,小区距刘园站步行约604米,南卧,13.1㎡ ,离地铁近 非首次出租 拿铁4.0,1290元/月
金地艺城华府4居室,合租,小区距淮河道站步行约643米,南卧,14.2㎡ ,深呼吸1.0 离地铁近 布丁4.0,1260元/月
园荫里2居室,合租,小区距红旗南路站步行约426米,南卧,13.2㎡ ,深呼吸1.0 可短租 拿铁4.0,1630元/月
儒林园3居室,合租,小区距梅林路站步行约451米,南卧,14.9㎡ ,离地铁近 非首次出租 木棉4.0,1390元/月
紫玉园4居室,合租,小区距屿东城站步行约423米,南卧,13.4㎡ ,深呼吸1.0 离地铁近 布丁4.0,1330元/月
春和仁居3居室,合租,小区距建昌道站步行约447米,南卧,15.6㎡ ,深呼吸1.0 可短租 布丁4.0,1430元/月
熙景园5居室,合租,小区距刘园站步行约344米,南卧,13.7㎡ ,深呼吸1.0 可短租 拿铁4.0,1330元/月
翠溪园3居室,合租,小区距本溪路站步行约892米,南卧,12.76㎡ ,深呼吸1.0 离地铁近 拿铁4.0,1390元/月
紫瑞园3居室,合租,小区距刘园站步行约596米,南卧,12.3㎡ ,深呼吸1.0 可短租 拿铁4.0,1230元/月
紫瑞园3居室,合租,小区距刘园站步行约596米,南卧,11.7㎡ ,深呼吸1.0 可短租 拿铁4.0,1260元/月
敬贤里3居室,合租,小区距志成路站步行约302米,南卧,13.5㎡ ,离地铁近 非首次出租 木棉4.0,1290元/月
春和仁居3居室,合租,小区距建昌道站步行约447米,南卧,13.4㎡ ,深呼吸1.0 离地铁近 拿铁4.0,1330元/月
宾水南里2居室,合租,小区距肿瘤医院站步行约548米,南卧,14.1㎡ ,深呼吸1.0 离地铁近 拿铁4.0,1590元/月
紫瑞园3居室,合租,小区距刘园站步行约596米,南卧,12.4㎡ ,全部空置 深呼吸1.0 拿铁4.0,1230元/月
秀丽园3居室,合租,小区距屿东城站步行约894米,南卧,13.1㎡ ,深呼吸1.0 离地铁近 拿铁4.0,1260元/月
太阳城蓝山园4居室,合租,小区距屿东城站步行约703米,南卧,13.1㎡ ,深呼吸1.0 离地铁近 布丁4.0,1290元/月
金地艺城华府4居室,合租,小区距淮河道站步行约643米,南卧,14.2㎡ ,离地铁近 非首次出租 布丁4.0,1230元/月
秀波园2居室,合租,小区距二号桥站步行约304米,南卧,10.7㎡ ,深呼吸1.0 离地铁近 拿铁4.0,1430元/月
春和仁居3居室,合租,小区距建昌道站步行约447米,南卧,17.64㎡ ,深呼吸1.0 离地铁近 拿铁4.0,1430元/月
紫瑞园3居室,合租,小区距刘园站步行约596米,南卧,12㎡ ,深呼吸1.0 离地铁近 拿铁4.0,1190元/月
淮盛园3居室,合租,小区距淮河道站步行约430米,南卧,12.35㎡ ,可短租 离地铁近 布丁4.0,1230元/月
观景里3居室,合租,小区距迎风道站步行约357米,南卧,14㎡ ,深呼吸1.0 离地铁近 拿铁4.0,1390元/月
宝翠花都探景园3居室,合租,小区距瑞景新苑站步行约1630米,南卧,16㎡ ,非首次出租 有2间空房 木棉6.0,1460元/月
雪莲北里4居室,合租,小区距登州路站步行约424米,南卧,15.8㎡ ,深呼吸1.0 离地铁近 布丁4.0,1360元/月
敬贤里3居室,合租,小区距志成路站步行约302米,南卧,12.8㎡ ,深呼吸1.0 离地铁近 布丁4.0,1360元/月
淮兴园3居室,合租,小区距淮河道站步行约105米,南卧,12.2㎡ ,深呼吸1.0 离地铁近 拿铁4.0,1190元/月
秀波园3居室,合租,小区距二号桥站步行约304米,南卧,10.76㎡ ,深呼吸1.0 离地铁近 布丁4.0,1390元/月
路劲太阳城皓阳园4居室,合租,小区距屿东城站步行约905米,南卧,15.2㎡ ,深呼吸1.0 独立卫生间 拿铁4.0,1660元/月
朗庭园3居室,合租,小区距昌凌路站步行约315米,南卧,11.6㎡ ,深呼吸1.0 可短租 木棉4.0,1490元/月
紫瑞园3居室,合租,小区距刘园站步行约596米,南卧,10.4㎡ ,离地铁近 非首次出租 拿铁4.0,1290元/月
秀波园3居室,合租,小区距二号桥站步行约304米,南卧,10.5㎡ ,深呼吸1.0 离地铁近 拿铁4.0,1390元/月
融创臻园4居室,合租,小区距北辰道站步行约357米,南卧,14.5㎡ ,深呼吸1.0 独立卫生间 拿铁4.0,1430元/月
朗庭园3居室,合租,小区距昌凌路站步行约315米,南卧,11.5㎡ ,深呼吸1.0 可短租 木棉4.0,1490元/月
复兴门家园3居室,合租,小区距复兴门站步行约372米,南卧,10.7㎡ ,深呼吸1.0 可短租 布丁4.0,1330元/月
金狮家园3居室,合租,小区距金狮桥站步行约386米,南卧,12.54㎡ ,全部空置 深呼吸1.0 米苏4.0,1560元/月
名都公寓4居室,合租,小区距梅江道站步行约869米,南卧,13.7㎡ ,离地铁近 非首次出租 布丁4.0,1290元/月
中嘉花园秋水苑3居室,合租,小区距勤俭道站步行约1105米,南卧,14.58㎡ ,全部空置 深呼吸1.0 拿铁4.0,1390元/月
融创臻园4居室,合租,小区距北辰道站步行约357米,南卧,15.2㎡ ,深呼吸1.0 独立卫生间 拿铁4.0,1430元/月
秋瑞家园3居室,合租,小区距刘园站步行约988米,南卧,14.68㎡ ,离地铁近 非首次出租 拿铁4.0,1330元/月
家福园4居室,合租,小区距双林站步行约611米,南卧,10.7㎡ ,深呼吸1.0 离地铁近 布丁4.0,1260元/月
融创臻园4居室,合租,小区距北辰道站步行约357米,南卧,13.6㎡ ,深呼吸1.0 独立卫生间 拿铁4.0,1390元/月
万科魅力之城格兰苑3居室,合租,小区距东丽开发区站步行约679米,南卧,13.1㎡ ,深呼吸1.0 离地铁近 布丁4.0,1290元/月
万科金域华府3居室,合租,小区距东丽开发区站步行约722米,南卧,12.1㎡ ,离地铁近 非首次出租 拿铁4.0,1290元/月
万科金域华府3居室,合租,小区距东丽开发区站步行约722米,南卧,12.1㎡ ,离地铁近 非首次出租 拿铁4.0,1290元/月
万东花园3居室,合租,小区距翠阜新村站步行约834米,南卧,12.8㎡ ,可短租 独立卫生间 拿铁4.0,1630元/月
